p.BIN1,p.BIN2,p.BIN3,p.BIN4,logBIN1,logBIN2,logBIN3,logBIN4,meanCS.BIN1,meanCS.BIN2,meanCS.BIN3,meanCS.BIN4,medianCS.BIN1,medianCS.BIN2,medianCS.BIN3,medianCS.BIN4,type
crRNA001:1-27,0.0371394871111111,0.00441351450311111,0.0164117777777778,0.116208254976,1.43016409807476,2.35521544195287,1.78484437219125,0.934763020283152,0.697828661730608,-0.669944399406328,-0.922505096895092,-0.658336997359278,0.74194283945173,-0.635273364175713,-1.01945741988454,-0.774466085121336,Perfect Match
crRNA002:2-28,0.00530590323911111,0.0698869140480001,0.0379805937208889,0.054201679872,2.27524067427515,1.15560413596793,1.42043825056028,1.26598725316947,0.973333657987378,-0.292587889411066,-0.468678435451397,-0.407693585100958,0.969996468274612,-0.219701384906034,-0.446329084009886,-0.398158042923727,Perfect Match
crRNA003:6-32,0.0527750542222222,1,0.308934151281778,0.206282608184889,1.27757131181661,0,0.510134079741909,0.685537386121518,1.16688814749968,-0.0292181537262566,-0.588825727857073,-0.572914855215613,1.16688814749968,-0.0292181537262566,-0.588825727857073,-0.572914855215613,Perfect Match
crRNA004:7-33,0.00993304166399999,0.311360658552889,0.238521,0.0119531681351111,2.00291774288251,0.506736262842937,0.622473378541578,1.92251697159936,1.05458042652802,-0.376562243035337,-0.498743261408468,-0.689002417842266,1.23498073578174,-0.0922750363668643,-0.457793230391306,-0.761772707861137,Perfect Match
crRNA004:7-33_consecDouble_01,0.810082703808,1,0.627180417024,0.868892971463111,0.0914706404128252,0,0.202607510449878,0.0610337158017759,0.953436605217187,NA,-0.851524909972558,-0.669700304536668,0.953436605217187,NA,-0.851524909972558,-0.669700304536668,Consecutive Double
crRNA004:7-33_consecDouble_02,0.026790962304,0.0211836017777778,0.035557056,0.000728911871999999,1.57201168669745,1.67400019629531,1.44907420427898,3.13732497623307,0.838968449032606,-0.834898926087586,-0.873376121144999,-0.978261150036671,1.09922372963045,-0.701821398763334,-0.532475673483443,-1.01172151093431,Consecutive Double
crRNA004:7-33_consecDouble_03,0.0702791689671111,0.816293376,0.467738272199111,0.0221307448888889,1.15317338256564,0.0881537276685575,0.329997092941932,1.65500396810213,0.486626630689924,-0.00738952412298558,-0.0442771906481618,-0.536620579613029,0.494908804446168,0.0591858070115736,-0.281070642943128,-0.483144357584181,Consecutive Double
crRNA004:7-33_consecDouble_04,0.172001538048,0.318412040184889,0.0709691418808889,0.578900847672889,0.764467669587958,0.497010518550591,1.14893044598498,0.23739581450404,-0.0992148947417627,0.143525441637052,0.328820273968703,0.0596389688066749,-0.104889286388207,0.0711412311314026,0.354871872392971,-0.0403011841613903,Consecutive Double
crRNA004:7-33_consecDouble_05,0.270710702535111,0.536583542784,0.032823144,0.550525957176889,0.567494574077814,0.270362651432436,1.48381982192842,0.259222199320888,-0.310885666403937,0.0850909856869718,0.580541167683476,0.0145812245678238,-0.162094620382369,0.259543953668446,0.557526982027843,0.128016110605403,Consecutive Double
crRNA004:7-33_consecDouble_06,0.010787045184,0.438922932679111,0.104448887815111,0.111738624,1.96709750212198,0.357611727708666,0.981096180081295,0.95179668104178,0.851267502491374,-0.0954996320101956,0.481205804871418,0.430586866110313,0.507820277685748,-0.127038683148766,0.386907117766538,0.524758646269751,Consecutive Double
