R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA1774:2789-2811,1568,285,1181,151,693,1799,478,1009,774
crRNA1775:2790-2812,1189,246,925,77,332,915,577,1202,939
crRNA1776:2791-2813,1085,135,910,74,168,736,424,966,775
crRNA1777:2793-2815,1158,220,843,65,124,770,603,1056,1076
crRNA1778:2794-2816,876,117,673,31,141,519,293,891,700
crRNA1779:2795-2817,1000,235,777,47,141,671,459,1126,843
crRNA1780:2796-2818,1003,160,728,59,196,704,347,869,693
crRNA1781:2797-2819,952,184,669,62,351,785,565,1645,694
crRNA1782:2798-2820,1156,147,900,99,464,1183,348,744,800
crRNA1783:2799-2821,1039,373,837,166,545,1349,264,601,476
crRNA1784:2800-2822,1876,385,1330,99,806,1914,573,938,876
crRNA1785:2801-2823,1212,300,841,91,329,1323,619,1084,674
crRNA1786:2803-2825,1074,222,871,59,351,935,479,1022,684
crRNA1787:2804-2826,1156,286,915,77,271,1301,551,1013,925
crRNA1788:2806-2828,809,145,622,14,159,618,464,984,619
crRNA1789:2807-2829,821,198,781,36,176,659,389,855,849
crRNA1790:2808-2830,991,261,855,35,121,780,634,892,1128
crRNA1791:2809-2831,1167,215,889,77,195,1000,637,1095,968
crRNA1792:2810-2832,963,280,813,63,186,1047,700,750,794
crRNA1793:2811-2833,1331,195,1298,45,339,1255,588,1252,1066
crRNA1794:2812-2834,1170,358,971,98,364,1218,618,994,986
crRNA1795:2815-2837,1001,182,957,90,315,1447,376,837,764
crRNA1796:2816-2838,1130,283,922,136,374,1171,338,774,828
crRNA1797:2817-2839,1142,235,931,95,510,1705,324,715,577
crRNA1798:2818-2840,1097,235,833,44,195,988,283,830,604
crRNA1799:2819-2841,1448,244,991,82,617,1401,472,991,829
crRNA1800:2820-2842,877,219,740,85,530,1224,204,522,442
crRNA1801:2821-2843,1469,320,961,239,1083,3064,462,834,560
crRNA1802:2822-2844,952,278,832,103,330,1097,451,867,698
crRNA1803:2823-2845,824,188,738,79,425,932,247,554,693
crRNA1804:2824-2846,421,56,360,32,52,332,168,525,382
crRNA1805:2845-2867,798,117,670,12,128,629,208,853,652
crRNA1806:2847-2869,758,96,655,88,128,636,223,457,431
crRNA1807:2848-2870,889,165,686,105,181,1070,321,509,419
crRNA1808:2849-2871,723,87,658,28,255,851,158,409,478
crRNA1809:2851-2873,930,179,801,47,780,1600,188,383,329
crRNA1810:2852-2874,979,227,732,115,330,1440,315,420,450
crRNA1811:2853-2875,684,206,688,66,315,944,192,470,357
crRNA1812:2854-2876,559,124,433,25,57,570,191,432,359
crRNA1813:2856-2878,723,82,604,47,94,564,202,807,773
crRNA1814:2857-2879,507,96,517,21,72,310,198,632,503
crRNA1816:2859-2881,636,89,448,51,124,584,148,401,404
crRNA1817:2860-2882,848,170,824,38,247,1072,245,837,575
crRNA1818:2861-2883,614,91,576,4,50,496,164,579,681
crRNA1819:2862-2884,804,192,605,47,159,662,240,721,609
crRNA1820:2863-2885,644,106,399,17,187,595,202,380,377
crRNA1821:2865-2887,738,113,627,27,137,745,212,519,554
crRNA1822:2866-2888,838,149,517,55,275,809,137,425,448
crRNA1823:2868-2890,483,76,332,7,62,265,142,538,396
crRNA1824:2869-2891,760,80,612,6,224,508,213,924,716
crRNA1825:2871-2893,676,86,565,21,105,476,259,684,664
crRNA1826:2872-2894,867,182,678,33,102,593,374,787,733
crRNA1827:2873-2895,1004,247,792,31,679,713,351,1138,941
crRNA1829:2879-2901,759,160,692,25,217,451,246,820,687
crRNA1830:2880-2902,787,178,721,78,216,680,277,973,791
crRNA1831:2881-2903,1001,175,880,43,343,947,338,997,888
crRNA1832:2883-2905,829,108,715,58,198,912,173,481,524
crRNA1833:2884-2906,945,172,686,40,337,976,289,719,634
crRNA1834:2885-2907,844,174,712,53,92,863,204,599,608
crRNA1835:2886-2908,790,226,734,25,182,623,367,887,762
crRNA1836:2888-2910,994,221,715,24,221,741,348,922,853
crRNA1837:2889-2911,763,135,654,21,91,507,299,977,653
crRNA1838:2890-2912,961,177,807,56,153,636,404,1078,684
crRNA1839:2891-2913,872,248,804,145,307,647,545,927,881
crRNA1840:2893-2915,1385,222,972,107,342,1532,321,879,961
crRNA1841:2894-2916,965,190,694,193,186,1181,279,552,595
crRNA1842:2897-2919,746,128,565,75,406,902,214,319,309
crRNA1843:2898-2920,855,135,509,21,335,907,281,446,412
crRNA1844:2899-2921,1199,261,850,42,563,1744,270,572,508
crRNA1845:2900-2922,935,215,731,76,523,2150,224,276,281
crRNA1846:2901-2923,994,232,708,73,398,1333,221,649,356
crRNA1847:2902-2924,868,242,746,82,387,1396,297,670,500
crRNA1848:2903-2925,859,266,748,40,410,1248,379,791,451
crRNA1849:2905-2927,1071,190,812,5,127,862,341,887,815
crRNA1850:2907-2929,910,195,736,53,281,1288,297,663,526
crRNA1851:2909-2931,813,156,774,78,357,826,542,781,708
crRNA1852:2910-2932,853,199,778,32,98,644,556,820,801
crRNA1853:2912-2934,821,209,700,25,155,853,411,731,614
crRNA1854:2913-2935,582,146,545,28,175,418,321,459,480
crRNA1855:2915-2937,697,118,618,17,61,611,304,870,722
crRNA1856:2916-2938,406,53,441,3,89,362,171,472,396
crRNA1857:2917-2939,458,55,417,17,105,351,174,494,445
crRNA1858:2918-2940,522,56,421,68,64,455,202,262,379
crRNA1859:2919-2941,471,92,379,20,188,473,243,646,368
crRNA1862:2922-2944,761,155,686,124,328,1428,227,482,282
crRNA1863:2923-2945,415,105,385,18,139,391,181,323,456
crRNA1864:2925-2947,673,149,592,28,110,540,279,573,511
crRNA1865:2927-2949,391,76,315,16,169,314,204,280,424
crRNA1866:2928-2950,476,55,355,75,121,450,129,292,287
crRNA1867:2929-2951,692,146,630,19,107,621,501,840,719
crRNA1868:2930-2952,659,193,575,9,76,519,266,846,719
crRNA1869:2931-2953,666,82,529,12,58,337,90,785,518
crRNA1870:2932-2954,1086,164,900,25,85,744,282,1289,950
crRNA1871:2933-2955,1035,155,698,7,250,617,408,921,871
crRNA1872:2934-2956,1037,181,800,13,152,867,453,1066,935
crRNA1873:2935-2957,1274,244,1030,38,307,1216,392,767,779
crRNA1874:2936-2958,1155,209,841,73,296,1304,401,816,642
crRNA1875:2937-2959,858,128,682,55,319,949,214,629,673
crRNA1880:2963-2985,366,64,267,12,18,272,67,389,264
crRNA1882:2965-2987,553,80,427,29,59,346,187,660,552
crRNA1883:2966-2988,775,68,464,26,34,395,144,606,419
crRNA1884:2967-2989,455,86,381,22,55,294,157,556,462
crRNA1889:2972-2994,370,78,326,17,50,308,133,538,428
crRNA1890:2973-2995,673,100,559,20,144,401,205,896,585
crRNA1899:2982-3004,463,64,285,1,47,198,79,456,508
crRNA1912:3023-3045,610,76,547,6,94,397,199,721,636
crRNA1913:3024-3046,672,120,587,11,125,437,222,519,600
crRNA1914:3025-3047,875,132,610,20,124,421,215,953,788
crRNA1915:3026-3048,900,168,699,18,124,674,365,959,897
crRNA1916:3027-3049,897,144,704,35,179,644,359,1087,739
crRNA1917:3028-3050,711,208,664,50,223,586,452,741,698
crRNA1918:3030-3052,818,207,752,8,215,778,465,913,809
crRNA1919:3031-3053,909,83,693,20,64,455,282,819,713
crRNA1920:3034-3056,938,174,748,70,346,726,498,953,828
crRNA1921:3036-3058,998,225,796,54,431,1232,368,850,591
crRNA1922:3037-3059,1003,162,777,11,102,890,242,672,643
crRNA1923:3038-3060,830,105,757,53,182,775,231,795,569
crRNA1950:3104-3126,512,72,422,12,133,312,164,646,471
crRNA1951:3105-3127,690,63,518,22,60,437,167,775,600
crRNA1952:3106-3128,518,50,443,10,98,346,124,619,492
crRNA1970:3133-3155,553,53,356,6,31,193,54,398,495
crRNA1971:3135-3157,648,86,443,27,69,386,152,566,479
crRNA1972:3136-3158,773,100,584,27,209,542,210,809,731
crRNA1973:3137-3159,1070,222,830,24,108,923,317,862,756
crRNA1974:3138-3160,1056,180,899,54,295,803,350,1040,940
crRNA1975:3140-3162,1055,117,786,46,226,697,267,970,799
crRNA1976:3141-3163,937,75,682,5,36,522,274,837,711
crRNA1977:3142-3164,889,111,689,10,100,536,338,814,718
crRNA1978:3143-3165,696,157,609,9,253,401,179,873,803
crRNA1979:3144-3166,568,64,423,13,93,317,100,497,542
crRNA1980:3145-3167,647,58,481,15,61,427,107,463,517
crRNA1983:3150-3172,744,113,730,22,140,618,201,847,608
crRNA1984:3151-3173,603,66,511,8,10,374,127,633,463
crRNA1985:3152-3174,726,141,501,27,199,654,154,362,430
crRNA1986:3153-3175,756,64,477,7,25,573,224,855,742
crRNA1987:3154-3176,751,72,521,16,5,452,265,746,508
crRNA1988:3155-3177,814,119,659,16,187,531,317,841,833
crRNA1989:3156-3178,714,100,575,17,66,439,226,838,620
crRNA1990:3157-3179,790,86,571,8,161,521,199,887,674
crRNA1991:3158-3180,952,155,660,48,324,620,562,1100,876
crRNA1992:3159-3181,641,129,589,30,19,410,233,820,675
crRNA1993:3160-3182,591,79,527,29,78,405,183,627,526
crRNA1994:3161-3183,645,52,425,26,27,299,134,767,523
crRNA1995:3162-3184,625,120,367,16,60,372,160,707,545
crRNA1996:3163-3185,794,68,598,21,68,417,190,770,576
crRNA1997:3164-3186,681,162,582,28,47,465,232,729,624
crRNA1998:3165-3187,872,147,729,76,77,710,287,810,830
crRNA1999:3166-3188,651,57,549,10,52,506,165,559,512
crRNA2000:3167-3189,747,57,446,14,135,495,141,522,491
crRNA2001:3168-3190,749,95,594,45,164,597,154,654,535
crRNA2002:3169-3191,641,80,436,27,188,551,106,404,363
crRNA2003:3170-3192,525,129,388,79,254,1173,69,200,141
crRNA2004:3171-3193,576,76,422,60,128,832,114,277,248
crRNA2005:3172-3194,585,58,461,51,291,982,73,172,171
crRNA2006:3174-3196,279,56,231,7,58,292,47,210,227
crRNA2007:3226-3248,828,88,596,18,266,584,260,954,761
crRNA2008:3228-3250,1192,197,1069,101,249,1612,280,625,808
crRNA2009:3229-3251,1607,388,1341,119,564,2326,369,630,836
crRNA2010:3230-3252,1225,343,1162,126,665,2089,583,702,645
crRNA2011:3231-3253,1135,446,1352,188,552,2148,441,569,600
crRNA2012:3232-3254,1566,412,1213,403,1635,4088,214,367,470
crRNA2013:3234-3256,1077,192,788,81,327,1245,234,676,639
crRNA2014:3235-3257,801,202,700,7,286,687,354,705,738
crRNA2015:3236-3258,946,145,749,3,451,1234,110,499,579
crRNA2016:3237-3259,596,79,559,29,219,830,103,380,243
crRNA2017:3238-3260,801,75,691,20,85,749,218,623,648
crRNA2018:3239-3261,863,182,774,63,189,770,282,850,686
crRNA2019:3240-3262,955,92,783,7,136,702,146,897,826
crRNA2020:3241-3263,751,135,641,4,135,571,273,830,715
crRNA2021:3244-3266,576,344,508,12,198,591,429,387,367
crRNA2022:3245-3267,390,54,240,14,129,659,64,139,173
crRNA2023:3246-3268,754,145,620,64,149,1248,158,405,368
crRNA2024:3274-3296,738,313,491,11,141,692,126,520,503
crRNA2025:3275-3297,591,71,429,121,235,1164,49,241,172
crRNA2026:3276-3298,510,77,461,40,132,567,85,256,308
crRNA2027:3302-3324,837,82,536,11,64,483,147,813,690
crRNA2028:3303-3325,841,214,760,20,105,528,333,1081,907
crRNA2029:3304-3326,925,140,706,11,96,601,234,1044,903
crRNA0001:1-23_FirstOrder_01,1127,133,912,71,137,898,893,1399,1070
crRNA0001:1-23_FirstOrder_02,1087,451,834,138,471,714,952,1191,1038
crRNA0001:1-23_FirstOrder_03,1358,418,1363,58,651,1193,1275,1874,1342
crRNA0001:1-23_FirstOrder_04,1287,307,907,52,98,1041,1091,1309,1075
crRNA0001:1-23_FirstOrder_05,1132,260,868,96,520,1021,850,1206,930
crRNA0001:1-23_FirstOrder_06,1208,298,1127,70,486,1325,1157,1670,1197
crRNA0001:1-23_FirstOrder_07,972,405,989,41,531,791,1100,1377,1110
crRNA0001:1-23_FirstOrder_08,1311,326,1153,139,281,984,1181,1563,1162
crRNA0001:1-23_FirstOrder_09,1446,343,1044,80,578,982,1055,1308,1138
crRNA0001:1-23_FirstOrder_10,1020,329,883,54,444,983,1024,1170,906
crRNA0001:1-23_FirstOrder_11,1250,337,1010,69,751,1003,1144,1219,1182
crRNA0001:1-23_FirstOrder_12,1187,309,960,52,185,915,658,1265,1029
crRNA0001:1-23_FirstOrder_13,1335,236,1045,124,345,1167,655,1295,1213
crRNA0001:1-23_FirstOrder_14,945,247,1298,55,232,1110,841,1314,1113
crRNA0001:1-23_FirstOrder_15,1439,293,1124,88,320,1236,1113,1365,1120
crRNA0001:1-23_FirstOrder_16,887,194,716,113,455,704,783,1066,852
crRNA0001:1-23_FirstOrder_17,1155,298,879,69,38,852,1528,1602,1010
crRNA0001:1-23_FirstOrder_18,1248,784,1191,43,410,969,1156,1266,1144
crRNA0001:1-23_FirstOrder_19,1346,348,1109,48,753,1213,1463,1500,1134
crRNA0001:1-23_FirstOrder_20,1302,636,1077,11,357,1180,1006,1289,1237
crRNA0001:1-23_FirstOrder_21,1183,393,1061,64,570,990,1482,1335,1249
crRNA0001:1-23_FirstOrder_22,1265,486,1156,114,447,914,1395,1610,1146
crRNA0001:1-23_FirstOrder_23,1202,431,1049,120,569,1071,1139,1432,1347
crRNA0100:117-139_FirstOrder_01,682,188,503,134,229,1146,143,307,253
crRNA0100:117-139_FirstOrder_02,816,134,621,43,454,1250,143,540,373
crRNA0100:117-139_FirstOrder_03,459,56,388,5,43,319,99,514,343
crRNA0100:117-139_FirstOrder_04,926,203,804,236,965,2049,133,291,425
crRNA0100:117-139_FirstOrder_05,973,171,732,51,401,1467,275,541,446
crRNA0100:117-139_FirstOrder_06,969,156,835,17,633,1200,303,832,562
crRNA0100:117-139_FirstOrder_07,772,128,680,9,127,708,237,885,557
crRNA0100:117-139_FirstOrder_08,941,174,730,258,660,1661,206,403,397
crRNA0100:117-139_FirstOrder_09,1243,282,1105,106,475,1231,479,826,833
crRNA0100:117-139_FirstOrder_10,982,201,734,65,324,1502,378,602,522
crRNA0100:117-139_FirstOrder_11,842,239,807,37,287,1061,415,724,604
crRNA0100:117-139_FirstOrder_12,698,191,724,43,291,1122,310,527,532
crRNA0100:117-139_FirstOrder_13,927,157,698,82,354,1127,379,618,624
crRNA0100:117-139_FirstOrder_14,987,205,785,112,596,1686,281,392,1181
crRNA0100:117-139_FirstOrder_15,1007,175,891,49,275,951,476,1110,1032
crRNA0100:117-139_FirstOrder_16,793,133,601,7,235,462,309,619,642
crRNA0100:117-139_FirstOrder_17,648,322,520,47,127,445,361,1009,694
crRNA0100:117-139_FirstOrder_18,495,73,304,9,62,274,152,534,413
crRNA0100:117-139_FirstOrder_19,585,115,573,37,98,435,270,824,555
crRNA0100:117-139_FirstOrder_20,710,122,609,25,237,515,269,846,682
crRNA0100:117-139_FirstOrder_21,813,252,688,156,325,704,591,913,848
crRNA0100:117-139_FirstOrder_22,716,150,625,34,98,596,311,787,700
crRNA0100:117-139_FirstOrder_23,707,62,636,53,130,737,134,552,572
crRNA0122:146-168_FirstOrder_01,930,171,780,164,837,1980,367,528,417
crRNA0122:146-168_FirstOrder_02,822,314,668,227,419,2110,494,355,273
crRNA0122:146-168_FirstOrder_03,1293,172,968,260,1024,3159,500,581,352
crRNA0122:146-168_FirstOrder_04,805,202,687,24,359,1024,449,814,592
crRNA0122:146-168_FirstOrder_05,1381,672,1054,151,550,2016,785,834,854
crRNA0122:146-168_FirstOrder_06,916,195,606,78,611,1710,428,437,281
crRNA0122:146-168_FirstOrder_07,857,238,760,648,400,1516,448,515,432
crRNA0122:146-168_FirstOrder_08,755,293,625,110,221,1062,474,665,519
crRNA0122:146-168_FirstOrder_09,1028,268,730,69,211,692,762,1009,834
crRNA0122:146-168_FirstOrder_10,861,300,615,167,423,1334,522,586,334
crRNA0122:146-168_FirstOrder_11,919,387,700,118,351,892,1019,844,727
crRNA0122:146-168_FirstOrder_12,814,308,710,131,213,890,853,849,674
crRNA0122:146-168_FirstOrder_13,1095,252,837,91,494,1389,590,695,514
crRNA0122:146-168_FirstOrder_14,1000,229,737,45,350,1318,353,665,454
crRNA0122:146-168_FirstOrder_15,1247,400,858,81,190,934,858,954,1020
crRNA0122:146-168_FirstOrder_16,1007,296,825,116,222,1019,791,1087,722
crRNA0122:146-168_FirstOrder_17,915,272,649,23,440,1020,776,721,562
crRNA0122:146-168_FirstOrder_18,966,147,722,53,551,723,998,1120,755
crRNA0122:146-168_FirstOrder_19,746,264,810,198,570,882,811,965,762
crRNA0122:146-168_FirstOrder_20,1016,297,799,192,808,2033,545,585,467
crRNA0122:146-168_FirstOrder_21,744,253,603,2,266,477,619,881,618
crRNA0122:146-168_FirstOrder_22,1022,221,778,73,386,879,1025,1019,828
crRNA0122:146-168_FirstOrder_23,1120,426,1128,298,951,2730,673,823,685
crRNA0184:222-244_FirstOrder_01,1458,358,1244,194,958,1469,900,1067,938
crRNA0184:222-244_FirstOrder_02,1395,413,1100,194,408,1366,763,1023,1033
crRNA0184:222-244_FirstOrder_03,1501,431,1262,121,660,1645,1191,1359,1228
crRNA0184:222-244_FirstOrder_04,1377,474,1164,94,949,1562,1016,1017,943
crRNA0184:222-244_FirstOrder_05,1444,316,1006,118,708,1314,940,1050,852
crRNA0184:222-244_FirstOrder_06,1311,718,1161,36,795,1927,997,1104,841
crRNA0184:222-244_FirstOrder_07,1723,506,1322,150,802,1600,1917,1432,1126
crRNA0184:222-244_FirstOrder_08,1349,363,1158,94,631,1508,928,989,1007
crRNA0184:222-244_FirstOrder_09,1699,600,1360,146,1052,2344,1098,1330,1020
crRNA0184:222-244_FirstOrder_10,1732,418,1203,136,708,1523,1118,1219,1028
crRNA0184:222-244_FirstOrder_11,1380,282,1033,132,336,1260,906,1199,1057
crRNA0184:222-244_FirstOrder_12,1925,851,1456,10868,1270,2244,1581,1451,1142
crRNA0184:222-244_FirstOrder_13,1525,539,1387,137,951,2210,1794,1644,908
crRNA0184:222-244_FirstOrder_14,1160,256,885,105,465,1134,1038,1329,1195
crRNA0184:222-244_FirstOrder_15,1361,529,1227,33,294,1073,1248,1323,1203
crRNA0184:222-244_FirstOrder_16,1845,575,1631,151,475,1682,1646,2180,1604
crRNA0184:222-244_FirstOrder_17,1422,349,1036,60,740,1178,1498,1422,1101
crRNA0184:222-244_FirstOrder_18,1407,450,1114,91,765,1347,1061,1535,1095
crRNA0184:222-244_FirstOrder_19,1565,368,1140,97,411,1148,1098,1553,1160
crRNA0184:222-244_FirstOrder_20,1644,567,1317,325,545,1402,1324,1319,1276
crRNA0184:222-244_FirstOrder_21,1444,495,1317,218,718,1788,1360,1380,1134
crRNA0184:222-244_FirstOrder_22,2070,648,1673,293,514,2612,930,1341,1241
crRNA0184:222-244_FirstOrder_23,2019,742,1682,221,769,2718,1171,1176,1208
crRNA0252:321-343_FirstOrder_01,922,178,661,393,1266,2236,122,352,206
crRNA0252:321-343_FirstOrder_02,827,162,627,64,239,999,414,360,295
crRNA0252:321-343_FirstOrder_03,979,187,1026,199,267,2571,314,714,401
crRNA0252:321-343_FirstOrder_04,756,197,847,259,767,2766,215,357,338
crRNA0252:321-343_FirstOrder_05,494,122,431,83,142,786,113,277,238
crRNA0252:321-343_FirstOrder_06,793,337,599,48,437,609,302,536,533
crRNA0252:321-343_FirstOrder_08,601,165,594,10,207,568,364,790,567
crRNA0252:321-343_FirstOrder_09,633,139,598,60,180,1329,223,436,352
crRNA0252:321-343_FirstOrder_10,464,74,327,27,216,319,152,372,312
crRNA0252:321-343_FirstOrder_11,714,119,642,48,385,1542,113,309,307
crRNA0252:321-343_FirstOrder_12,560,94,428,27,126,833,203,304,262
crRNA0252:321-343_FirstOrder_13,721,145,516,13,59,560,205,747,459
crRNA0252:321-343_FirstOrder_14,751,64,535,58,136,593,183,728,442
crRNA0252:321-343_FirstOrder_15,612,113,509,19,182,592,305,592,414
crRNA0252:321-343_FirstOrder_16,404,94,359,18,120,277,171,394,221
crRNA0252:321-343_FirstOrder_17,525,124,381,14,64,445,199,760,551
crRNA0252:321-343_FirstOrder_18,461,99,342,10,116,399,157,420,341
crRNA0252:321-343_FirstOrder_19,488,103,386,12,58,340,107,666,468
crRNA0252:321-343_FirstOrder_20,544,86,495,15,220,383,315,599,518
crRNA0252:321-343_FirstOrder_21,513,144,454,31,138,761,263,559,532
crRNA0252:321-343_FirstOrder_22,636,151,564,15,162,683,200,591,463
crRNA0252:321-343_FirstOrder_23,516,131,530,56,282,1200,92,274,186
crRNA0325:430-452_FirstOrder_02,464,127,381,52,521,1223,84,236,150
crRNA0325:430-452_FirstOrder_03,644,113,536,97,846,2206,198,259,246
crRNA0325:430-452_FirstOrder_04,634,222,515,96,242,1515,107,274,255
crRNA0325:430-452_FirstOrder_05,1076,206,701,193,857,2830,143,316,208
crRNA0325:430-452_FirstOrder_06,966,217,766,130,845,3161,179,300,287
crRNA0325:430-452_FirstOrder_07,660,143,488,133,445,1605,172,425,267
crRNA0325:430-452_FirstOrder_08,510,65,491,91,512,1196,97,314,191
crRNA0325:430-452_FirstOrder_09,1014,294,860,200,994,2345,346,718,465
crRNA0325:430-452_FirstOrder_10,422,85,446,33,204,784,139,310,219
crRNA0325:430-452_FirstOrder_11,670,173,509,41,411,1709,167,377,275
crRNA0325:430-452_FirstOrder_12,820,174,591,237,733,2062,174,256,186
crRNA0325:430-452_FirstOrder_13,687,167,528,71,484,1751,143,316,199
crRNA0325:430-452_FirstOrder_15,506,87,346,43,272,698,127,247,147
crRNA0325:430-452_FirstOrder_16,501,127,449,37,158,579,154,380,349
crRNA0325:430-452_FirstOrder_17,816,156,575,54,120,744,214,642,449
crRNA0325:430-452_FirstOrder_18,606,127,488,30,110,534,267,698,624
crRNA0325:430-452_FirstOrder_19,815,169,543,37,162,961,213,600,498
crRNA0325:430-452_FirstOrder_20,670,56,487,97,479,1257,186,310,248
crRNA0325:430-452_FirstOrder_21,880,252,639,83,803,1870,258,503,373
crRNA0325:430-452_FirstOrder_22,651,194,544,78,456,2210,139,287,156
crRNA0325:430-452_FirstOrder_23,516,93,460,138,1146,1574,154,248,150
crRNA0378:492-514_FirstOrder_01,1333,241,1082,61,141,966,586,1342,1142
crRNA0378:492-514_FirstOrder_02,1657,523,1487,99,315,1618,1363,1692,1655
crRNA0378:492-514_FirstOrder_03,1796,421,1468,75,419,1279,1254,2062,1803
crRNA0378:492-514_FirstOrder_04,1456,391,1204,55,357,1232,914,1502,1213
crRNA0378:492-514_FirstOrder_05,1822,491,1477,129,575,1500,1121,2164,1668
crRNA0378:492-514_FirstOrder_06,1912,407,1480,66,437,1271,1262,1916,1664
crRNA0378:492-514_FirstOrder_07,1654,236,1472,33,695,1162,811,1975,1575
crRNA0378:492-514_FirstOrder_08,1228,265,1024,39,549,1083,731,1374,1171
crRNA0378:492-514_FirstOrder_09,1541,400,1275,52,256,1159,722,1561,1620
crRNA0378:492-514_FirstOrder_10,1639,332,1278,82,358,1121,931,1362,1097
crRNA0378:492-514_FirstOrder_11,1415,313,1329,97,252,1243,1009,1436,1261
crRNA0378:492-514_FirstOrder_12,1499,387,1095,38,132,1004,756,1462,1396
crRNA0378:492-514_FirstOrder_13,1183,315,1101,79,267,858,859,1376,1275
crRNA0378:492-514_FirstOrder_14,1247,278,1056,39,333,877,785,1559,1169
crRNA0378:492-514_FirstOrder_15,1465,296,1222,50,334,1133,836,1937,1360
crRNA0378:492-514_FirstOrder_16,1486,255,1105,83,305,986,870,1533,1532
crRNA0378:492-514_FirstOrder_17,1262,242,1056,59,216,951,792,1631,1270
crRNA0378:492-514_FirstOrder_18,1468,318,1073,54,200,1062,749,1572,1200
crRNA0378:492-514_FirstOrder_19,1640,432,1392,109,407,1393,1113,1814,1349
crRNA0378:492-514_FirstOrder_20,1047,284,942,83,665,727,1045,1637,939
crRNA0378:492-514_FirstOrder_21,1377,301,1092,97,319,1099,914,1352,1073
crRNA0378:492-514_FirstOrder_22,1176,241,1063,28,334,830,696,1186,1150
crRNA0378:492-514_FirstOrder_23,1336,237,1094,94,448,1352,744,1340,1052
crRNA0425:546-568_FirstOrder_13,450,55,348,10,42,276,139,483,560
crRNA0425:546-568_FirstOrder_16,403,59,403,10,57,385,103,418,426
crRNA0425:546-568_FirstOrder_18,540,96,432,19,79,340,135,703,449
crRNA0425:546-568_FirstOrder_19,462,68,321,8,63,252,66,433,494
crRNA0425:546-568_FirstOrder_21,516,68,451,5,34,328,156,647,565
crRNA0425:546-568_FirstOrder_23,485,56,337,3,54,299,89,505,422
crRNA0474:679-701_FirstOrder_03,868,112,689,13,290,524,231,900,751
crRNA0474:679-701_FirstOrder_04,975,129,871,35,129,807,375,1386,1197
crRNA0474:679-701_FirstOrder_05,754,117,574,14,152,550,231,1014,777
crRNA0474:679-701_FirstOrder_06,835,117,583,23,220,428,235,816,645
crRNA0474:679-701_FirstOrder_07,820,107,632,11,140,466,187,911,846
crRNA0474:679-701_FirstOrder_08,640,59,532,14,64,344,178,557,565
crRNA0474:679-701_FirstOrder_09,977,783,714,20,69,530,203,1144,914
crRNA0474:679-701_FirstOrder_10,652,75,554,14,169,453,117,772,532
crRNA0474:679-701_FirstOrder_12,939,121,754,31,84,599,273,1162,904
crRNA0474:679-701_FirstOrder_13,628,74,527,56,87,396,124,743,684
crRNA0474:679-701_FirstOrder_14,567,64,498,6,122,382,94,647,602
crRNA0474:679-701_FirstOrder_15,784,119,737,12,121,503,201,905,672
crRNA0474:679-701_FirstOrder_16,951,136,747,19,152,473,185,1020,843
crRNA0474:679-701_FirstOrder_17,594,64,461,14,122,291,136,683,527
crRNA0474:679-701_FirstOrder_20,889,94,617,23,126,511,245,882,808
crRNA0474:679-701_FirstOrder_21,884,159,638,7,138,777,214,818,782
crRNA0474:679-701_FirstOrder_22,751,67,589,7,87,392,119,826,674
crRNA0474:679-701_FirstOrder_23,914,153,738,33,170,659,328,950,844
crRNA0504:716-738_FirstOrder_01,884,126,592,14,34,541,284,836,775
crRNA0504:716-738_FirstOrder_02,637,74,517,15,54,436,139,796,589
crRNA0504:716-738_FirstOrder_04,932,103,697,6,126,651,238,1007,884
crRNA0504:716-738_FirstOrder_05,823,185,603,36,145,555,299,850,723
crRNA0504:716-738_FirstOrder_06,714,84,593,15,40,511,129,970,741
crRNA0504:716-738_FirstOrder_07,967,130,737,20,108,422,219,1045,865
crRNA0504:716-738_FirstOrder_08,848,94,691,11,132,500,235,957,797
crRNA0504:716-738_FirstOrder_09,530,219,401,11,85,288,108,709,554
crRNA0504:716-738_FirstOrder_10,722,55,601,10,44,421,113,918,802
crRNA0504:716-738_FirstOrder_11,774,62,640,7,52,366,110,931,692
crRNA0504:716-738_FirstOrder_12,669,55,379,7,87,333,139,770,498
crRNA0504:716-738_FirstOrder_13,747,105,667,11,155,663,432,1069,797
crRNA0504:716-738_FirstOrder_15,897,170,750,39,249,847,469,933,974
crRNA0504:716-738_FirstOrder_16,975,203,848,48,203,837,659,856,983
crRNA0504:716-738_FirstOrder_17,1263,262,932,38,120,845,576,1473,1123
crRNA0504:716-738_FirstOrder_18,1205,226,936,9,429,830,785,1632,1097
crRNA0504:716-738_FirstOrder_19,976,205,774,115,246,632,638,1523,930
crRNA0504:716-738_FirstOrder_20,883,109,639,15,65,500,228,721,768
crRNA0504:716-738_FirstOrder_21,799,88,635,29,72,492,154,818,751
crRNA0504:716-738_FirstOrder_22,1054,207,828,32,91,655,437,1536,848
crRNA0504:716-738_FirstOrder_23,1138,228,941,21,482,791,546,1315,1094
crRNA0660:997-1019_FirstOrder_01,1245,228,956,25,96,771,766,1340,1154
crRNA0660:997-1019_FirstOrder_02,1096,389,862,117,294,880,795,1184,1089
crRNA0660:997-1019_FirstOrder_03,937,283,945,77,129,865,494,998,866
