R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA0099:116-138,681,139,516,120,164,1253,230,466,300
crRNA0100:117-139,837,181,623,208,807,1936,131,274,273
crRNA0101:118-140,665,194,510,83,375,1178,182,201,333
crRNA0102:119-141,492,85,595,23,58,437,109,667,506
crRNA0103:120-142,808,113,548,25,211,537,189,520,688
crRNA0104:121-143,617,92,460,47,24,479,166,457,445
crRNA0105:123-145,860,162,527,18,148,546,222,686,474
crRNA0106:124-146,510,127,535,53,185,791,158,546,384
crRNA0107:125-147,603,152,591,53,326,819,294,579,415
crRNA0108:126-148,774,239,671,73,40,749,460,862,613
crRNA0109:128-150,1068,266,798,54,231,613,616,1004,1051
crRNA0110:132-154,893,186,783,66,353,853,763,1029,964
crRNA0111:133-155,1097,543,1014,75,210,959,805,1194,1085
crRNA0112:134-156,1050,312,978,160,497,1011,1068,1294,992
crRNA0113:135-157,1081,226,979,19,381,958,878,964,961
crRNA0114:137-159,1419,480,1061,325,1803,2283,823,954,748
crRNA0115:138-160,1389,335,894,1111,4338,4535,461,445,234
crRNA0116:139-161,1406,478,1138,1026,4901,4843,560,558,296
crRNA0117:140-162,1120,568,957,576,2024,3961,383,397,240
crRNA0118:141-163,1190,411,1105,147,619,1378,793,1028,935
crRNA0119:142-164,976,279,723,68,271,925,661,943,745
crRNA0120:143-165,1211,273,940,178,628,1275,491,848,646
crRNA0121:145-167,747,273,720,138,497,1169,533,684,411
crRNA0122:146-168,913,263,858,72,1177,1707,535,674,429
crRNA0123:147-169,1054,330,869,132,452,1604,507,716,504
crRNA0124:148-170,790,190,566,23,187,1085,337,520,334
crRNA0125:150-172,840,267,755,6,122,603,559,1033,789
crRNA0126:151-173,877,186,808,57,411,815,708,1307,954
crRNA0127:153-175,1395,397,1107,455,228,1273,1308,1746,1320
crRNA0128:154-176,1415,341,1081,104,493,1057,1152,1522,1271
crRNA0129:155-177,1111,379,866,19,255,918,1057,1000,873
crRNA0130:156-178,1400,247,1064,43,275,1000,862,1335,1003
crRNA0131:158-180,1649,372,1326,135,631,1509,990,1584,1287
crRNA0132:159-181,1366,332,1016,231,843,1916,489,684,598
crRNA0133:160-182,1242,342,1310,134,345,1166,896,1426,1424
crRNA0134:161-183,1176,253,854,91,398,1475,445,721,514
crRNA0135:162-184,1243,477,1045,101,111,884,1254,1388,1315
crRNA0136:163-185,928,229,820,28,169,790,573,1023,821
crRNA0137:164-186,841,166,679,56,332,597,622,1534,754
crRNA0138:165-187,896,131,610,49,185,743,406,736,600
crRNA0139:166-188,764,203,580,42,162,786,348,817,419
crRNA0140:167-189,819,211,614,30,274,1115,227,593,347
crRNA0141:169-191,925,233,701,46,136,737,627,736,734
crRNA0142:170-192,1083,249,756,104,193,953,463,904,716
crRNA0143:171-193,701,146,571,13,90,531,365,572,619
crRNA0144:173-195,1109,199,737,82,771,1506,424,609,438
crRNA0145:174-196,1200,397,976,258,538,2272,316,683,482
crRNA0146:175-197,1474,441,1145,84,1037,1805,587,751,698
crRNA0147:176-198,1643,345,1111,459,1560,3704,439,508,511
crRNA0148:177-199,1537,695,1175,739,3409,4033,683,711,370
crRNA0149:178-200,1407,469,1134,558,4162,3345,500,400,550
crRNA0150:180-202,1764,671,1371,1634,7129,6235,493,467,455
crRNA0151:181-203,1764,529,1408,532,947,2789,962,1161,824
crRNA0152:182-204,1372,545,1119,251,1175,2261,583,593,578
crRNA0153:183-205,1276,387,868,412,1382,3119,484,710,500
crRNA0154:184-206,1224,328,784,121,679,1342,1028,1059,738
crRNA0155:185-207,1132,232,776,261,1539,2656,332,548,465
crRNA0156:186-208,1206,232,993,225,587,1827,372,510,556
crRNA0157:187-209,1083,202,866,20,403,976,326,943,874
crRNA0158:188-210,1204,190,941,45,194,976,338,932,873
crRNA0159:189-211,1472,328,1012,107,806,1747,424,916,640
crRNA0160:190-212,1423,448,1136,61,446,1471,630,1117,894
crRNA0161:191-213,1342,268,1069,229,1289,2710,286,418,514
crRNA0162:192-214,1032,226,809,146,1301,2245,235,605,326
crRNA0163:193-215,1491,264,995,395,2672,4400,163,508,264
crRNA0164:194-216,1461,241,1067,372,2426,5060,171,444,310
crRNA0165:195-217,1068,270,880,461,2683,3438,214,383,266
crRNA0166:196-218,1217,248,898,506,2342,3891,235,326,275
crRNA0167:197-219,1028,280,828,470,1776,3521,290,383,247
crRNA0168:199-221,1025,371,911,346,2326,3199,387,487,261
crRNA0169:201-223,1133,184,853,46,264,840,457,1074,851
crRNA0170:202-224,1014,131,753,20,184,641,328,937,593
crRNA0171:203-225,1101,421,1023,60,125,1061,601,1227,703
crRNA0172:204-226,1406,327,1026,61,313,1044,583,1177,981
crRNA0173:205-227,1618,379,1139,190,707,3611,243,495,471
crRNA0174:208-230,1716,421,1356,119,997,2123,847,1101,947
crRNA0175:210-232,2079,535,1564,219,857,1899,1214,1500,1245
crRNA0176:212-234,1251,315,1074,85,662,1379,776,1023,974
crRNA0177:213-235,1728,698,1219,237,1095,2386,865,1121,626
crRNA0178:215-237,1119,181,970,76,287,1222,524,1009,954
crRNA0179:216-238,1507,370,1168,139,756,3359,498,765,523
crRNA0180:218-240,1258,374,1134,148,919,1672,784,1019,897
crRNA0181:219-241,1464,442,1066,85,620,1930,820,1012,735
crRNA0182:220-242,1501,453,1112,154,1623,2830,680,811,425
crRNA0183:221-243,1136,444,849,112,239,833,1041,966,886
crRNA0184:222-244,1897,505,1529,218,787,2280,1061,1228,975
crRNA0185:223-245,1443,380,1060,153,1049,2440,692,737,545
crRNA0186:224-246,1079,358,1084,27,710,1667,827,1085,887
crRNA0187:225-247,1298,385,1106,299,2002,2972,648,739,511
crRNA0188:226-248,1396,521,1204,426,2310,3892,353,455,483
crRNA0189:228-250,1640,561,1408,1050,3402,5681,438,551,405
crRNA0190:229-251,1489,364,1121,485,1868,2905,747,610,516
crRNA0191:230-252,1434,441,1114,341,845,2082,734,806,744
crRNA0192:231-253,1374,324,1177,55,535,1845,635,877,838
crRNA0193:232-254,1184,234,1026,163,801,1822,483,908,633
crRNA0194:233-255,1893,522,1590,324,1369,3220,923,1197,786
crRNA0195:234-256,1585,397,1217,268,1383,3248,663,827,618
crRNA0196:235-257,1295,515,1134,282,834,1922,741,1015,770
crRNA0197:236-258,1487,756,1265,679,2225,3602,593,736,474
crRNA0198:237-259,1419,385,1314,708,2186,4119,546,654,625
crRNA0199:238-260,1376,493,1065,597,3078,3734,457,566,522
crRNA0200:240-262,1693,295,1328,469,2178,3444,552,997,657
crRNA0201:241-263,1128,269,998,197,501,1003,660,982,1032
crRNA0202:242-264,1704,348,1234,127,749,1243,997,1269,1134
crRNA0203:243-265,1336,516,1166,206,1138,2050,718,891,694
crRNA0204:244-266,1515,292,1211,95,493,1376,1157,1466,1102
crRNA0205:245-267,1099,331,940,189,394,1116,705,868,840
crRNA0206:246-268,1233,336,1139,124,733,1898,902,737,1066
crRNA0207:247-269,1021,308,954,92,528,1052,694,1056,959
crRNA0208:248-270,941,259,851,33,760,775,483,867,876
crRNA0209:249-271,1122,384,886,203,470,992,773,886,836
crRNA0210:250-272,930,329,868,288,1704,2757,409,340,235
crRNA0211:251-273,1026,266,910,100,564,1589,597,963,519
crRNA0212:252-274,1158,561,877,333,728,2367,497,760,543
crRNA0213:253-275,2570,919,2173,548,2473,4805,1264,1266,1253
crRNA0214:254-276,934,125,712,155,842,1387,278,521,477
crRNA0215:255-277,1218,334,863,78,761,1789,452,827,604
crRNA0216:256-278,1021,238,910,169,1072,3539,334,510,316
crRNA0217:259-281,1167,232,974,165,783,2722,384,519,394
crRNA0218:261-283,1157,110,859,68,705,1870,334,424,413
crRNA0219:263-285,1089,282,773,403,1583,3144,215,339,273
crRNA0220:265-287,941,187,761,239,1335,2998,121,449,182
crRNA0221:266-288,853,198,656,74,247,1067,227,606,444
crRNA0222:267-289,763,140,657,210,1325,2409,74,247,174
crRNA0223:268-290,896,157,701,82,290,1391,260,475,414
crRNA0224:269-291,709,263,524,14,285,940,285,421,332
crRNA0225:270-292,1285,358,1006,91,268,1076,674,854,983
crRNA0226:271-293,1084,163,937,85,455,1715,373,602,498
crRNA0227:272-294,900,234,684,37,175,653,476,1037,725
crRNA0228:273-295,738,252,633,23,96,621,472,894,736
crRNA0229:274-296,990,237,742,59,158,649,460,1275,700
crRNA0230:275-297,882,155,820,36,170,1287,308,1090,688
crRNA0231:276-298,975,118,882,76,194,784,223,824,780
crRNA0232:277-299,1230,125,912,78,209,1330,271,791,760
crRNA0233:279-301,1050,353,847,104,571,2053,385,562,449
crRNA0234:280-302,1327,262,1183,158,659,2535,378,495,576
crRNA0235:281-303,844,218,648,40,125,893,188,561,448
crRNA0236:282-304,1095,296,983,73,526,1427,391,766,718
crRNA0237:283-305,753,207,696,161,781,2469,215,384,297
crRNA0238:285-307,887,120,874,178,1224,2092,134,384,402
crRNA0239:286-308,866,180,764,173,752,2062,174,323,282
crRNA0240:307-329,1054,223,901,101,464,1724,270,696,373
crRNA0241:308-330,953,155,679,91,354,1047,208,597,474
crRNA0242:309-331,1136,272,935,38,235,1026,671,1431,793
crRNA0243:310-332,1080,212,817,48,145,1318,605,967,668
crRNA0244:311-333,1418,282,964,361,1628,4277,311,463,216
crRNA0245:312-334,1377,367,1075,82,618,2133,599,873,856
crRNA0246:313-335,1373,233,1014,34,258,1031,453,861,983
crRNA0247:314-336,997,173,929,26,469,1351,496,847,812
crRNA0248:315-337,842,247,603,105,277,1577,346,527,442
crRNA0249:316-338,778,195,729,100,338,1053,411,552,586
crRNA0250:317-339,1442,506,1227,100,683,2176,569,935,786
crRNA0251:318-340,1467,488,1184,232,1352,3144,337,877,627
crRNA0252:321-343,490,93,405,115,494,1485,88,179,102
crRNA0253:323-345,669,106,499,44,162,1026,80,284,269
crRNA0254:324-346,726,64,574,124,694,1822,188,366,205
crRNA0255:325-347,930,165,806,86,411,1250,270,622,656
crRNA0256:327-349,633,129,471,23,122,709,124,464,330
crRNA0257:328-350,586,69,660,27,206,746,145,605,415
crRNA0259:353-375,888,92,602,79,379,1527,158,491,393
crRNA0260:354-376,1093,189,976,128,283,1160,361,771,736
crRNA0261:355-377,870,158,718,90,549,1424,146,454,446
crRNA0262:356-378,676,96,595,36,95,754,135,460,535
crRNA0263:357-379,722,104,513,13,503,427,142,561,556
crRNA0264:358-380,909,120,740,83,126,547,335,1005,751
crRNA0265:359-381,843,127,631,24,134,575,289,930,706
crRNA0266:360-382,1020,188,668,43,226,668,239,1164,734
crRNA0267:361-383,749,125,513,6,61,516,230,721,657
crRNA0268:362-384,939,183,656,39,157,595,378,805,876
crRNA0269:363-385,1058,4027,779,19,234,652,461,1125,939
crRNA0270:364-386,787,99,606,20,40,501,304,910,725
crRNA0271:365-387,976,223,796,195,899,2256,242,528,425
crRNA0272:366-388,932,275,649,323,1064,2079,267,526,279
crRNA0273:367-389,1032,151,973,139,691,924,551,906,896
crRNA0274:369-391,848,226,783,51,311,1034,553,878,761
crRNA0275:370-392,1038,311,750,146,1200,2345,343,598,364
crRNA0276:371-393,1012,233,849,476,1830,3213,264,467,277
crRNA0277:372-394,776,254,608,222,1412,2596,193,413,160
crRNA0278:374-396,1187,295,1002,735,3547,4250,143,276,138
crRNA0279:376-398,942,187,655,500,2720,3205,78,247,151
crRNA0280:377-399,1015,138,787,210,1642,2800,138,479,339
crRNA0281:378-400,894,161,709,134,216,1228,439,624,624
crRNA0282:379-401,1099,176,812,161,842,1909,306,510,348
crRNA0283:381-403,841,197,659,24,221,1315,172,564,477
crRNA0284:383-405,870,146,727,71,535,1265,240,695,499
crRNA0285:384-406,768,95,636,101,25,709,251,643,623
crRNA0286:385-407,655,333,607,26,96,639,326,808,650
crRNA0287:386-408,686,116,536,41,38,491,231,591,556
crRNA0288:387-409,413,72,344,34,65,286,103,512,439
crRNA0289:388-410,686,126,510,33,263,490,296,700,562
crRNA0290:389-411,653,142,418,31,286,504,335,768,480
crRNA0291:391-413,619,111,592,2,114,730,228,508,447
crRNA0292:392-414,733,141,496,79,455,1627,115,367,259
crRNA0293:393-415,863,283,732,171,1149,2537,210,362,210
crRNA0294:394-416,1275,170,900,635,2798,3762,182,266,219
crRNA0295:395-417,978,261,740,581,3928,3277,83,381,251
crRNA0296:397-419,1015,343,916,244,852,2136,347,628,490
crRNA0297:398-420,1191,247,967,225,560,2148,351,576,547
crRNA0298:399-421,1157,225,874,291,441,2392,277,372,359
crRNA0299:400-422,876,310,665,199,797,2165,344,436,340
crRNA0300:401-423,1029,165,719,86,417,1061,705,1077,814
crRNA0301:402-424,1245,454,961,113,286,1035,796,1197,917
crRNA0302:403-425,989,229,741,66,117,740,590,1065,918
crRNA0303:404-426,1147,355,892,113,548,915,524,1262,906
crRNA0304:405-427,1019,383,1074,51,489,965,818,1286,1176
crRNA0305:406-428,984,293,899,72,454,1156,593,834,654
crRNA0306:407-429,1219,310,997,180,993,2666,399,680,474
crRNA0307:408-430,1463,423,1113,137,678,1754,654,765,746
crRNA0308:409-431,1172,408,912,268,1800,3094,374,442,400
crRNA0309:410-432,1279,378,1195,579,2008,4215,586,557,389
crRNA0310:411-433,1299,307,1107,411,1647,3045,554,619,515
crRNA0311:412-434,1501,441,1240,212,634,1886,1067,1349,1150
crRNA0312:413-435,1731,558,1148,194,588,1804,1454,1305,1042
crRNA0313:414-436,1412,429,1042,256,897,2034,633,1159,651
crRNA0314:415-437,1287,434,1080,99,343,1677,834,1226,888
crRNA0315:416-438,1241,272,850,113,601,1883,745,864,571
crRNA0316:417-439,1257,270,1002,149,631,2575,546,693,498
crRNA0317:418-440,938,385,718,106,430,1499,455,647,470
crRNA0318:419-441,1081,330,737,112,444,1897,412,642,430
crRNA0319:420-442,1063,202,692,69,209,755,394,715,626
crRNA0320:421-443,1914,550,1575,93,569,1338,1311,1967,1831
crRNA0321:424-446,1015,206,871,61,254,1370,331,691,752
crRNA0322:426-448,350,55,365,62,429,762,111,241,198
crRNA0323:428-450,408,61,348,67,493,917,70,156,146
crRNA0324:429-451,539,96,402,65,362,889,155,312,276
crRNA0325:430-452,616,203,430,144,1099,1636,65,314,200
crRNA0326:432-454,354,78,289,35,132,474,107,112,180
crRNA0327:433-455,626,154,623,11,359,1240,135,345,289
crRNA0328:434-456,722,98,509,36,106,720,177,497,307
crRNA0329:435-457,895,118,728,39,295,850,296,989,754
crRNA0330:436-458,723,94,479,33,123,546,200,713,566
crRNA0331:437-459,527,79,395,6,158,505,179,574,428
crRNA0334:442-464,920,118,737,64,89,782,239,637,599
crRNA0335:444-466,420,70,416,30,110,329,90,345,278
crRNA0336:445-467,884,124,694,146,538,1259,89,390,300
crRNA0337:446-468,909,143,660,215,269,1135,148,342,321
crRNA0338:447-469,854,231,682,392,1475,2721,191,233,225
crRNA0339:448-470,717,179,583,462,1220,1610,204,300,264
crRNA0340:449-471,1131,195,770,607,2457,3358,130,313,162
crRNA0341:450-472,1151,235,924,379,923,2604,170,452,396
crRNA0342:451-473,883,135,716,68,366,825,278,880,676
crRNA0343:452-474,748,121,488,25,316,665,179,427,602
crRNA0344:453-475,572,61,369,5,90,325,110,497,475
crRNA0348:458-480,511,59,481,16,76,553,80,376,348
crRNA0349:459-481,534,86,376,71,115,539,106,245,250
crRNA0350:460-482,874,143,678,39,329,1092,241,475,578
crRNA0351:461-483,622,155,478,212,1179,2119,48,170,108
crRNA0352:462-484,628,132,419,242,1338,1917,56,240,102
crRNA0353:463-485,867,202,652,309,1864,2912,172,308,195
crRNA0354:464-486,737,231,624,320,1806,2478,148,283,230
crRNA0355:465-487,943,235,866,263,1911,3092,221,403,313
crRNA0356:466-488,1507,490,1052,54,667,1780,397,808,635
crRNA0357:467-489,938,141,698,88,140,564,367,931,825
crRNA0358:469-491,803,109,631,3,285,487,320,844,537
crRNA0359:470-492,813,307,744,9,255,578,495,769,802
crRNA0360:471-493,940,111,821,77,270,1051,300,887,787
crRNA0361:473-495,1275,244,1127,76,404,1456,618,1141,1195
crRNA0362:474-496,890,224,666,94,220,779,323,870,669
crRNA0363:475-497,1320,209,939,86,771,1136,345,706,961
crRNA0364:476-498,1290,377,1218,188,1249,2598,356,576,571
crRNA0365:477-499,1423,414,1128,92,350,1213,1095,1679,1223
crRNA0366:478-500,1098,462,1012,54,486,1252,806,1414,1146
crRNA0367:479-501,1027,289,760,37,120,935,476,798,878
crRNA0368:480-502,1184,288,1064,17,239,1112,608,1020,852
crRNA0369:481-503,1261,400,962,46,84,1013,1050,1532,1291
crRNA0370:482-504,725,152,732,53,354,880,728,979,787
crRNA0371:483-505,1239,287,990,42,311,887,841,1329,1001
crRNA0372:484-506,1095,199,864,48,181,934,732,1122,783
crRNA0373:485-507,1213,366,929,73,382,1275,857,1364,880
crRNA0374:486-508,1057,231,823,54,196,868,725,1114,954
crRNA0375:487-509,1092,373,751,59,109,733,441,975,972
crRNA0376:488-510,904,195,840,57,182,753,499,1018,925
crRNA0377:490-512,1108,175,727,16,185,552,396,1021,825
crRNA0378:492-514,1822,381,1541,25,320,1654,1121,2033,1650
crRNA0379:493-515,1446,433,1252,55,401,1291,780,1875,1390
crRNA0380:494-516,1332,358,1196,120,143,1130,999,1739,1317
crRNA0381:495-517,1239,262,1102,375,397,1021,532,1222,1123
crRNA0382:496-518,1492,362,983,50,294,1004,492,1228,1177
crRNA0383:497-519,1213,426,1113,124,431,1689,473,699,915
crRNA0384:498-520,1252,430,1005,93,531,1208,612,967,825
crRNA0385:499-521,1051,385,1004,74,658,928,796,1430,1118
crRNA0386:500-522,1634,481,1353,118,383,1242,1060,1504,1392
crRNA0387:501-523,1161,234,886,27,294,799,463,991,870
crRNA0388:502-524,1071,218,932,35,168,819,461,1014,1076
crRNA0389:504-526,746,149,568,43,153,682,209,636,631
crRNA0390:505-527,893,167,844,34,154,928,416,1065,747
crRNA0391:506-528,1033,235,889,32,222,1119,565,881,817
crRNA0392:507-529,1126,341,969,160,887,2419,448,461,418
crRNA0393:508-530,1392,274,1264,70,436,1863,519,896,763
crRNA0394:510-532,877,187,883,76,95,975,446,731,852
crRNA0395:511-533,1009,128,780,47,93,757,494,953,889
crRNA0396:512-534,1037,220,727,86,401,1330,316,650,543
crRNA0397:513-535,1192,281,938,84,1010,1882,305,651,489
crRNA0398:515-537,1030,211,817,70,250,1067,328,848,738
crRNA0399:516-538,779,101,728,17,108,753,268,921,703
crRNA0400:517-539,528,102,543,51,212,910,84,502,335
crRNA0401:518-540,1004,160,753,38,83,1022,190,672,494
crRNA0402:519-541,1134,124,840,115,716,2450,102,427,299
crRNA0403:522-544,1118,267,865,206,929,2609,245,438,415
crRNA0404:523-545,553,88,444,25,202,829,176,333,266
crRNA0405:524-546,1119,143,890,49,286,1344,259,811,609
crRNA0406:525-547,1164,153,794,19,134,903,329,1079,1035
crRNA0407:526-548,800,128,595,34,244,689,254,1007,781
crRNA0408:527-549,513,51,326,10,34,333,113,768,494
crRNA0409:528-550,763,162,665,11,153,536,187,839,695
crRNA0411:530-552,566,51,439,21,91,379,112,530,498
crRNA0412:531-553,665,65,582,3,106,442,134,912,652
crRNA0413:532-554,512,66,463,13,123,322,107,708,551
crRNA0415:534-556,543,88,376,16,100,486,103,583,483
crRNA0416:537-559,480,50,359,25,22,464,31,245,247
crRNA0417:538-560,767,101,605,95,401,1486,34,176,136
crRNA0418:539-561,824,105,565,211,1033,2470,34,141,138
crRNA0419:540-562,835,147,738,294,1731,2920,39,105,99
crRNA0420:541-563,1103,209,806,361,1783,3525,45,180,144
crRNA0421:542-564,752,94,559,119,1253,1959,62,227,181
crRNA0422:543-565,974,184,695,280,973,2525,112,283,258
crRNA0423:544-566,804,119,648,28,100,939,143,354,431
crRNA0424:545-567,1087,147,809,6,139,667,321,1382,916
crRNA0443:571-593,559,137,576,10,135,460,206,667,734
crRNA0444:572-594,535,63,388,11,29,306,99,613,643
crRNA0445:574-596,1004,188,666,34,86,696,489,1108,1015
crRNA0446:576-598,996,332,694,99,247,1048,395,716,711
crRNA0447:577-599,1196,432,1003,215,1971,1829,571,648,890
crRNA0448:578-600,1035,309,802,139,273,1220,473,885,701
crRNA0449:579-601,991,292,850,29,219,932,687,1084,1034
crRNA0450:580-602,1242,227,1148,47,402,966,735,1317,1115
crRNA0451:581-603,938,142,751,28,117,618,404,1168,808
crRNA0452:583-605,992,164,751,78,135,767,468,816,703
crRNA0453:584-606,1295,211,1041,36,155,778,474,1476,1189
crRNA0454:585-607,971,146,684,69,375,1058,314,827,623
crRNA0455:587-609,1125,282,924,99,579,1525,405,579,850
crRNA0456:588-610,1583,406,1194,577,2266,3977,250,410,393
crRNA0457:589-611,1211,186,901,108,711,1513,349,697,655
crRNA0458:590-612,1454,329,1216,230,1446,2295,387,541,580
crRNA0459:591-613,1104,237,949,41,222,1194,553,1248,952
crRNA0460:592-614,1153,217,898,114,563,2255,249,400,365
crRNA0461:593-615,1081,268,831,428,1783,3084,195,422,277
crRNA0462:594-616,1115,170,912,80,289,1601,379,545,702
crRNA0463:595-617,1074,262,854,50,379,847,979,1159,1009
crRNA0464:596-618,896,188,737,82,233,657,671,930,936
crRNA0465:630-652,905,221,689,62,247,739,599,1100,767
crRNA0466:631-653,1117,230,877,26,330,1129,541,813,899
crRNA0467:633-655,733,231,714,124,219,799,471,532,699
crRNA0468:634-656,1246,183,810,37,301,781,487,1224,953
crRNA0469:671-693,847,177,761,17,172,717,252,506,603
crRNA0470:673-695,1200,377,1105,559,2757,4079,284,265,238
