Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
DESI1_crRNA0168:262-288_B19_0.03537_0.436672672453925,401,732,395,574,320,618
DESI1_crRNA0200:294-320_B37_0.05726_0.465646288770372,798,903,642,834,667,666
DESI1_crRNA0203:297-323_B15_0.02593_0.427050164171966,529,808,507,788,422,777
DESI1_crRNA0214:308-334_B21_0.03873_0.446945871660747,495,882,544,826,375,629
DESI1_crRNA0218:312-338_B3_0.003705_0.348477560104877,958,1361,784,1426,646,2197
DESI1_crRNA0220:314-340_B1_0.001684_0.316744083420263,771,1044,599,980,560,662
DESI1_crRNA0242:336-362_T1_0.9983_0.805096425771199,580,767,520,647,314,364
DESI1_crRNA0243:337-363_T2_0.9966_0.793756601610422,545,729,459,692,408,488
DESI1_crRNA0244:338-364_T3_0.9963_0.793756601610422,727,828,603,836,564,1562
DESI1_crRNA0264:358-384_T15_0.9336_0.745982703743071,702,891,732,874,2138,1178
DESI1_crRNA0280:374-400_T14_0.938_0.747728468918651,476,830,411,721,448,2575
DESI1_crRNA0298:392-418_T9_0.9704_0.76228681177631,614,815,386,641,308,964
DESI1_crRNA0299:393-419_T11_0.9552_0.751202156774737,803,1115,739,967,569,1115
DESI1_crRNA0314:408-434_B25_0.04345_0.452456747450471,629,766,487,867,336,1090
DESI1_crRNA0336:454-480_T4_0.9882_0.775857627854046,661,915,438,651,472,868
DESI1_crRNA0337:455-481_T20_0.9121_0.739132088846414,667,753,466,536,338,524
DESI1_crRNA0338:456-482_T13_0.9394_0.74894717900887,447,695,293,495,338,467
DESI1_crRNA0341:459-485_T17_0.9269_0.743484209482866,587,759,510,789,258,1842
DESI1_crRNA0342:460-486_T18_0.9266_0.743484209482866,648,959,616,740,445,560
DESI1_crRNA0344:462-488_T12_0.9441_0.749206331439109,688,834,551,690,433,501
DESI1_crRNA0351:469-495_T6_0.9744_0.764722901342441,625,633,432,668,284,453
DESI1_crRNA0352:470-496_T7_0.9741_0.764722901342441,585,700,455,661,408,480
DESI1_crRNA0353:471-497_T5_0.9879_0.775288067963466,589,634,522,700,434,524
DESI1_crRNA0354:472-498_T10_0.9579_0.752497025984693,511,596,442,635,371,458
DESI1_crRNA0355:473-499_T8_0.9737_0.764722901342441,489,815,471,651,467,460
DESI1_crRNA0455:596-622_T19_0.9252_0.743104596804707,630,857,616,738,790,1435
DESI1_crRNA0463:604-630_T16_0.9279_0.743558257705234,461,793,451,651,370,905
DESI1_crRNA0518:659-685_B17_0.03301_0.435073681620406,732,991,649,843,563,866
DESI1_crRNA0530:671-697_B31_0.05052_0.458299898121708,944,1116,760,904,1261,1051
DESI1_crRNA0531:672-698_B11_0.01751_0.40855327441752,793,988,611,866,369,576
DESI1_crRNA0552:693-719_B13_0.02257_0.422001694599188,406,753,385,627,1018,476
DESI1_crRNA0554:695-721_B35_0.0549_0.4629424461675,560,831,413,625,485,605
DESI1_crRNA0568:709-735_B33_0.0512_0.45916659839635,695,953,549,806,410,785
DESI1_crRNA0569:710-736_B27_0.0448_0.454917975110877,828,1046,594,826,419,1262
DESI1_crRNA0592:733-759_B29_0.04682_0.455507657432446,602,1115,626,947,398,647
DESI1_crRNA0595:736-762_B23_0.04109_0.448874792622467,828,1188,729,1000,603,701
DIAPH3_crRNA0182:206-232_T5_0.9983_0.779282892753424,534,631,354,531,224,539
DIAPH3_crRNA0211:235-261_B23_0.007834_0.391222678460242,633,1097,713,1088,861,1182
DIAPH3_crRNA0244:268-294_B13_0.003358_0.36392161624589,397,665,430,489,413,609
DIAPH3_crRNA0259:283-309_B3_0.0005596_0.235171022577346,793,1166,568,1016,499,1690
DIAPH3_crRNA0261:285-311_B1_0_0.219323277753627,1149,1037,899,1088,716,937
DIAPH3_crRNA0264:288-314_B19_0.005876_0.374059343982076,808,1289,730,937,644,739
DIAPH3_crRNA0265:289-315_B21_0.006995_0.387849223575707,741,964,553,745,582,673
DIAPH3_crRNA0266:290-316_B11_0.002798_0.348789010385126,907,1288,824,1098,651,1321
DIAPH3_crRNA0268:292-318_B15_0.003917_0.368713792415456,920,1206,682,1038,505,1390
DIAPH3_crRNA0270:294-320_B27_0.009793_0.399514202487032,1140,1537,972,1317,678,1388
DIAPH3_crRNA0271:295-321_B33_0.01203_0.409989412506225,746,1049,612,870,429,610
DIAPH3_crRNA0272:296-322_B39_0.01427_0.418198765656194,685,944,511,690,408,412
DIAPH3_crRNA0273:297-323_B37_0.01371_0.416684546005555,690,1008,659,879,952,974
DIAPH3_crRNA0335:382-408_T11_0.9961_0.770317636888989,423,593,445,539,335,664
DIAPH3_crRNA0384:431-457_B29_0.01063_0.40181773070087,249,616,326,495,272,463
DIAPH3_crRNA0411:458-484_T18_0.9933_0.764875917365907,293,563,328,472,234,1298
DIAPH3_crRNA0412:459-485_T2_0.9994_0.813151992634111,302,509,301,437,239,284
DIAPH3_crRNA0633:758-784_T15_0.9947_0.766516540959423,633,730,571,653,759,577
DIAPH3_crRNA0636:761-787_T4_0.9986_0.787218981914991,605,929,565,758,926,898
DIAPH3_crRNA0638:763-789_T7_0.9978_0.774757715316505,706,1015,585,884,492,707
DIAPH3_crRNA0724:849-875_T8_0.9975_0.774757715316505,435,618,333,406,297,420
DIAPH3_crRNA0905:1101-1127_T9_0.9972_0.774757715316505,686,928,508,738,571,1114
DIAPH3_crRNA0906:1102-1128_T3_0.9992_0.789793492203451,567,566,445,549,288,574
DIAPH3_crRNA1519:1945-1971_B25_0.008674_0.396996933485611,421,743,410,642,433,766
DIAPH3_crRNA1548:1974-2000_B17_0.004757_0.371539675230786,930,1019,736,1028,651,1098
DIAPH3_crRNA1549:1975-2001_B31_0.01147_0.407023669737777,900,1071,760,1051,439,795
DIAPH3_crRNA1588:2037-2063_B35_0.01259_0.415495003295656,660,799,644,781,1769,752
DIAPH3_crRNA1591:2040-2066_B9_0.002238_0.333504405575777,666,901,510,727,395,511
DIAPH3_crRNA1593:2042-2068_B7_0.001679_0.31052077480213,721,836,607,698,402,455
DIAPH3_crRNA1595:2044-2070_B5_0.001119_0.31052077480213,700,899,549,756,459,938
DIAPH3_crRNA2018:2573-2599_T10_0.9969_0.774757715316505,748,1076,609,917,993,1022
DIAPH3_crRNA2405:2984-3010_T1_0.9997_0.813287223749846,576,879,494,762,478,1835
DIAPH3_crRNA2582:3184-3210_T14_0.995_0.768571106549527,896,1054,655,913,372,871
DIAPH3_crRNA2696:3369-3395_T12_0.9958_0.769812323186785,593,686,469,667,469,621
DIAPH3_crRNA2697:3370-3396_T13_0.9955_0.769812323186785,699,907,642,749,526,990
DIAPH3_crRNA2733:3406-3432_T17_0.9941_0.765918462827342,627,829,563,831,488,1223
DIAPH3_crRNA2734:3407-3433_T16_0.9944_0.766128494545206,681,1012,547,838,343,1132
DIAPH3_crRNA2950:3646-3672_T19_0.993_0.764875917365907,449,651,387,493,402,316
DIAPH3_crRNA2951:3647-3673_T20_0.9927_0.764875917365907,559,786,395,644,343,751
DIAPH3_crRNA2958:3654-3680_T6_0.998_0.778332199296157,573,754,477,649,513,552
DUSP12_crRNA0069:69-95_B21_0.02098_0.448153809502194,614,898,571,766,413,705
DUSP12_crRNA0087:87-113_T6_0.994_0.785912055679454,1014,1288,876,961,703,776
DUSP12_crRNA0088:88-114_T4_0.996_0.792190266393151,1018,1220,857,993,551,753
DUSP12_crRNA0107:107-133_T13_0.987_0.767379000770889,632,907,652,948,411,615
DUSP12_crRNA0108:108-134_T14_0.986_0.767379000770889,654,847,642,776,398,1465
DUSP12_crRNA0109:109-135_T10_0.99_0.768043556452817,841,1173,517,979,447,957
DUSP12_crRNA0110:110-136_T11_0.989_0.768043556452817,553,932,533,816,408,1392
DUSP12_crRNA0125:125-151_T16_0.984_0.765263292802081,712,751,515,699,407,591
DUSP12_crRNA0141:141-167_B17_0.01598_0.438075150374011,1168,1440,1002,1155,1112,1068
DUSP12_crRNA0143:143-169_B15_0.01399_0.438075150374011,1090,1572,1151,1468,1077,1197
DUSP12_crRNA0144:144-170_B31_0.03097_0.461602118494313,968,1447,854,1304,678,1959
DUSP12_crRNA0148:148-174_B1_0_0.348157505915995,577,829,530,868,363,663
DUSP12_crRNA0149:149-175_B27_0.02697_0.455770595464593,779,920,661,817,410,672
DUSP12_crRNA0160:160-186_T19_0.981_0.764796231400157,549,749,411,589,415,787
DUSP12_crRNA0165:165-191_T5_0.995_0.787186044226254,683,844,580,841,347,507
DUSP12_crRNA0196:196-222_T3_0.997_0.79413218686187,582,748,563,769,365,664
DUSP12_crRNA0204:204-230_B23_0.02298_0.451322385635442,604,694,399,646,406,540
DUSP12_crRNA0216:216-242_B5_0.003996_0.392674817797977,915,1125,822,1166,514,1077
DUSP12_crRNA0254:254-280_B37_0.03696_0.48266820066299,753,918,642,816,467,631
DUSP12_crRNA0258:258-284_B35_0.03497_0.481269328913629,879,986,725,1020,735,939
DUSP12_crRNA0260:260-286_B33_0.03297_0.473638552044338,789,997,666,783,717,600
DUSP12_crRNA0262:262-288_B39_0.03896_0.485668825431364,522,633,412,573,389,670
DUSP12_crRNA0281:281-307_B7_0.005994_0.409110382394184,491,615,454,523,419,502
DUSP12_crRNA0288:288-314_B25_0.02498_0.455069166116102,528,682,412,479,233,456
DUSP12_crRNA0319:319-345_B13_0.01199_0.431231635411102,861,1238,874,1050,619,1285
DUSP12_crRNA0322:322-348_B3_0.001998_0.391924767513264,1256,1603,1078,1485,786,1322
DUSP12_crRNA0335:335-361_B19_0.01898_0.442436954608988,1205,1612,1007,1415,1039,1424
DUSP12_crRNA0336:336-362_B11_0.00999_0.420112823295898,1043,1455,956,1391,1571,1185
DUSP12_crRNA0337:337-363_B9_0.007992_0.417035610649914,1004,1318,924,1101,657,1535
DUSP12_crRNA0339:339-365_B29_0.02897_0.460418910084256,1112,1607,1009,1446,706,1325
DUSP12_crRNA0373:373-399_T9_0.991_0.768114400140036,553,698,630,872,585,970
DUSP12_crRNA0435:482-508_T12_0.988_0.767996762128967,151,217,110,221,95,332
DUSP12_crRNA0448:495-521_T15_0.985_0.766881341973158,435,531,327,410,255,428
DUSP12_crRNA0477:524-550_T8_0.992_0.770018036104834,479,681,415,534,271,340
DUSP12_crRNA0478:525-551_T7_0.993_0.781336364850668,554,750,458,758,298,417
DUSP12_crRNA0481:528-554_T20_0.98_0.762604035420779,472,763,448,786,297,723
DUSP12_crRNA0482:529-555_T17_0.983_0.765243530368879,503,679,411,694,290,542
DUSP12_crRNA0683:730-756_T1_0.999_0.813287223749846,562,758,420,603,305,477
DUSP12_crRNA0684:731-757_T18_0.982_0.764967951028541,458,683,364,534,202,502
DUSP12_crRNA0685:732-758_T2_0.998_0.813287223749846,527,728,550,773,472,2353
EBPL_crRNA050:73-99_T5_0.9699_0.737995238767022,867,1288,826,1101,696,1049
EBPL_crRNA051:74-100_T6_0.9682_0.736431895649084,948,1360,900,1032,893,1234
EBPL_crRNA053:76-102_T4_0.9732_0.739360543740164,1080,1460,946,1204,1401,1033
EBPL_crRNA054:77-103_T1_0.995_0.76435544440586,1203,1393,898,1109,1543,1220
EBPL_crRNA055:78-104_T2_0.9816_0.748826883958057,1069,1182,915,1059,710,936
EBPL_crRNA056:79-105_T3_0.9799_0.748826883958057,919,1222,719,936,713,735
EBPL_crRNA057:80-106_T14_0.6254_0.680094757679272,1132,1447,1130,1143,1566,1387
EBPL_crRNA061:84-110_B19_0.0602_0.463607133803274,1003,1134,830,1267,667,1061
EBPL_crRNA073:96-122_B14_0.03512_0.449775600491507,1024,1245,861,1008,771,963
EBPL_crRNA074:97-123_B20_0.06856_0.470618598835956,1029,1407,1022,1213,2820,1188
EBPL_crRNA075:98-124_B13_0.03344_0.449775600491507,960,1136,778,1084,472,1890
EBPL_crRNA076:99-125_B4_0.006689_0.42689533715544,944,1607,825,1041,1006,1185
EBPL_crRNA077:100-126_B11_0.02843_0.445915927322035,1004,1472,824,1134,516,923
EBPL_crRNA078:101-127_B7_0.01338_0.43671502141463,1125,1527,1199,1447,1059,1322
EBPL_crRNA079:102-128_B6_0.01171_0.43671502141463,1094,1491,983,1347,833,828
EBPL_crRNA080:103-129_B5_0.01003_0.43671502141463,1210,1727,1113,1498,936,1232
EBPL_crRNA082:105-131_B3_0.005017_0.42689533715544,1183,1531,1065,1442,772,1090
EBPL_crRNA083:106-132_B2_0.003344_0.42689533715544,1447,1882,1151,1677,978,1584
EBPL_crRNA084:107-133_B10_0.02676_0.445915927322035,984,1331,827,1133,554,953
EBPL_crRNA093:116-142_B9_0.02174_0.443442134228458,1413,1754,1243,1774,895,1670
EBPL_crRNA094:117-143_B8_0.02007_0.443442134228458,1391,1823,1146,1640,1161,1413
EBPL_crRNA095:118-144_B15_0.04181_0.453578551490674,1208,1388,909,1286,856,1122
EBPL_crRNA096:119-145_B12_0.03177_0.448796253247136,1165,1496,963,1215,668,805
EBPL_crRNA097:120-146_B1_0_0.359894375412519,1193,1557,986,1347,723,1156
EBPL_crRNA158:204-230_B16_0.05017_0.462768661901077,787,1004,608,894,520,685
EBPL_crRNA159:205-231_B18_0.05518_0.463541485598843,677,947,585,942,640,1016
EBPL_crRNA160:206-232_B17_0.05351_0.463541485598843,761,1086,659,919,529,885
EBPL_crRNA303:420-446_T10_0.8294_0.700714086875403,172,455,220,521,141,539
EBPL_crRNA304:421-447_T16_0.5619_0.672851158789081,310,633,378,566,226,486
EBPL_crRNA305:422-448_T17_0.5602_0.672851158789081,339,645,368,718,302,553
EBPL_crRNA306:423-449_T20_0.4365_0.649940251440611,433,679,427,602,373,492
EBPL_crRNA401:518-544_T19_0.5418_0.669381818154519,701,934,512,789,402,621
EBPL_crRNA406:523-549_T8_0.898_0.711748942705279,488,706,292,553,224,459
EBPL_crRNA407:524-550_T7_0.9197_0.714892027876365,594,841,546,772,469,1274
EBPL_crRNA408:525-551_T15_0.6037_0.679124267280476,651,920,426,562,339,341
EBPL_crRNA409:526-552_T13_0.6689_0.684062225008928,653,923,464,702,289,885
EBPL_crRNA410:527-553_T12_0.7659_0.694619601995575,646,622,373,593,298,484
EBPL_crRNA411:528-554_T18_0.5535_0.671278755769179,637,887,470,704,345,379
EBPL_crRNA412:529-555_T11_0.8244_0.6997321174632,565,815,401,382,216,232
EBPL_crRNA413:530-556_T9_0.8662_0.704855650021596,603,734,420,536,647,490
EGFL7_crRNA0116:116-142_B31_0.06029_0.384432620297316,954,1275,812,1100,788,817
EGFL7_crRNA0148:148-174_T5_0.9952_0.790575032666377,829,1169,774,966,529,687
EGFL7_crRNA0150:150-176_T17_0.9837_0.772813488423761,866,963,610,819,384,938
EGFL7_crRNA0151:151-177_T18_0.9828_0.772813488423761,864,1041,601,1006,495,961
EGFL7_crRNA0244:244-270_B28_0.05742_0.380829342616248,721,1064,631,880,465,922
EGFL7_crRNA0289:289-315_B37_0.06699_0.391786862787907,835,1304,764,1331,519,993
EGFL7_crRNA0302:302-328_B1_0_0.262835649314845,1172,1490,1058,1402,629,1231
EGFL7_crRNA0303:303-329_B4_0.004785_0.286903701766624,970,1191,622,1001,486,1233
EGFL7_crRNA0304:304-330_B7_0.007656_0.3020530775099,980,1265,847,1161,469,1338
EGFL7_crRNA0307:307-333_B25_0.0488_0.373216384400685,969,1466,798,1104,776,850
EGFL7_crRNA0412:412-438_B40_0.07273_0.3946688800602,1137,1203,983,1131,832,962
EGFL7_crRNA0414:414-440_B19_0.03732_0.365617195992861,1096,1429,1065,1395,668,1318
EGFL7_crRNA0415:415-441_B16_0.03062_0.356235114732053,1372,1686,1089,1565,749,1888
EGFL7_crRNA0416:416-442_B22_0.04211_0.367013424603183,911,1210,817,1076,519,1909
EGFL7_crRNA0418:418-444_B43_0.07943_0.398732303239361,1256,1661,1174,1453,810,1215
EGFL7_crRNA0421:421-447_B55_0.09282_0.41212734815851,1023,1326,863,1210,803,1306
EGFL7_crRNA0424:424-450_B46_0.0823_0.403177951309836,887,1361,847,1172,508,836
EGFL7_crRNA0425:425-451_B52_0.08995_0.409362746563468,1206,1745,1176,1772,1063,2779
EGFL7_crRNA0467:467-493_T19_0.9818_0.771700205459568,447,658,449,659,417,714
EGFL7_crRNA0473:473-499_T14_0.9866_0.776973177142109,662,783,507,653,381,421
EGFL7_crRNA0475:475-501_T11_0.9895_0.77994418190023,667,827,582,705,361,544
EGFL7_crRNA0486:486-512_T3_0.9971_0.797989114018779,408,661,347,485,205,614
EGFL7_crRNA0487:487-513_T4_0.9962_0.791659269183971,564,819,590,706,465,606
EGFL7_crRNA0538:538-564_T20_0.9809_0.771622771994484,734,881,536,654,405,500
EGFL7_crRNA0540:540-566_T6_0.9943_0.787316613495131,260,462,194,273,133,222
EGFL7_crRNA0541:541-567_T9_0.9914_0.78037443138767,637,721,432,547,407,403
EGFL7_crRNA0551:551-577_T13_0.9876_0.777703123631578,797,992,644,817,536,1102
EGFL7_crRNA0552:552-578_T2_0.9981_0.804691930180865,738,1150,574,677,404,751
EGFL7_crRNA0555:555-581_T7_0.9933_0.783956887350848,815,1068,615,768,404,826
EGFL7_crRNA0592:628-654_T15_0.9856_0.776651234814161,583,780,534,614,493,503
EGFL7_crRNA0593:629-655_T10_0.9904_0.780174533845813,667,837,541,748,786,599
EGFL7_crRNA0594:630-656_T8_0.9923_0.783101871482765,412,589,434,547,964,352
EGFL7_crRNA0609:645-671_T12_0.9885_0.77994418190023,731,805,581,700,426,552
EGFL7_crRNA0611:647-673_T16_0.9847_0.773034094133216,702,930,710,726,2562,672
EGFL7_crRNA0673:709-735_B34_0.06316_0.388534483501591,600,946,552,802,539,539
EGFL7_crRNA0682:718-744_B13_0.02488_0.338899584742529,1090,1434,954,1221,724,2478
EGFL7_crRNA0684:720-746_B10_0.02105_0.336496878991509,887,1272,849,1157,961,946
EGFL7_crRNA0692:728-754_B49_0.08517_0.406346380534196,929,1173,788,1175,526,910
EGFL7_crRNA0799:835-861_T1_0.999_0.820046182115999,506,756,462,697,351,2853
EGFL7_crRNA0813:849-875_B58_0.09569_0.413112319620646,903,1133,719,982,738,836
EIF3B_crRNA0124:124-150_B34_0.01383_0.367011446301217,1117,1905,1068,1703,718,2025
EIF3B_crRNA0136:136-162_B52_0.02263_0.388969943639924,1116,1705,1021,1661,827,2514
EIF3B_crRNA0156:174-200_B58_0.02515_0.393030201277956,831,1495,981,1152,1143,961
EIF3B_crRNA0265:283-309_B13_0.005029_0.324203339703183,1013,1444,777,1125,602,1117
EIF3B_crRNA0267:285-311_B16_0.006287_0.336848554793402,1280,1555,970,1468,1134,1602
EIF3B_crRNA0269:287-313_B1_0_0.225359358245223,1033,1445,938,1119,808,909
EIF3B_crRNA0270:288-314_B4_0.001257_0.268242917722698,1102,1302,844,1241,1619,1147
EIF3B_crRNA0273:291-317_B25_0.01006_0.363291633851369,1027,1302,906,1229,978,1855
EIF3B_crRNA0278:296-322_B31_0.01257_0.364286276565198,1386,1670,1244,1744,855,1817
EIF3B_crRNA0282:300-326_B28_0.01132_0.364177164509119,1164,1509,931,1466,862,1305
EIF3B_crRNA0284:302-328_B40_0.01718_0.3786360795247,1258,1378,1023,1370,787,1064
EIF3B_crRNA0290:308-334_B55_0.02389_0.390651212223079,1025,1477,896,1434,816,1299
EIF3B_crRNA0456:497-523_B10_0.003772_0.312584985015699,946,1180,643,976,734,923
EIF3B_crRNA0462:503-529_B7_0.002515_0.306424495511028,650,920,621,766,534,723
EIF3B_crRNA0536:577-603_T18_0.9908_0.784326547078064,564,724,688,748,679,564
EIF3B_crRNA0586:627-653_B43_0.01844_0.380801533238198,523,803,445,692,316,500
EIF3B_crRNA0588:629-655_B49_0.02137_0.385983963088351,626,962,571,943,347,636
EIF3B_crRNA0644:778-804_T4_0.9975_0.808728526856201,750,939,533,873,547,748
EIF3B_crRNA0645:779-805_T9_0.995_0.795275486605127,790,789,652,938,598,856
EIF3B_crRNA0719:877-903_T12_0.9937_0.792654899158802,400,532,87,106,51,79
EIF3B_crRNA0778:936-962_T2_0.9992_0.809953115528752,507,567,99,160,44,73
EIF3B_crRNA0779:937-963_T8_0.9958_0.796281695235287,442,691,176,261,65,74
EIF3B_crRNA0780:938-964_T5_0.9971_0.807384132781741,410,623,410,697,249,431
EIF3B_crRNA1298:1626-1652_T16_0.992_0.789442130497464,451,619,310,467,214,346
EIF3B_crRNA1299:1627-1653_T3_0.9979_0.809657391814449,361,653,357,549,280,335
EIF3B_crRNA1300:1628-1654_T7_0.9962_0.797777681169446,598,826,256,408,103,328
EIF3B_crRNA1353:1713-1739_T20_0.9895_0.781269614009888,822,1089,578,998,801,717
EIF3B_crRNA1357:1717-1743_T13_0.9933_0.791183767552681,596,755,338,438,194,409
EIF3B_crRNA1359:1719-1745_T1_0.9996_0.81875542656988,551,678,418,636,283,476
EIF3B_crRNA1530:1936-1962_T17_0.9912_0.786290154040247,388,501,315,466,193,311
EIF3B_crRNA1613:2019-2045_T19_0.9899_0.781614698416936,356,515,233,331,116,220
EIF3B_crRNA1754:2160-2186_B46_0.02012_0.383170320936302,863,1122,617,973,661,677
EIF3B_crRNA1758:2164-2190_B19_0.007544_0.352370839443682,741,1027,766,872,643,833
EIF3B_crRNA1766:2172-2198_B22_0.008801_0.356759992004494,653,810,555,775,463,893
EIF3B_crRNA1769:2175-2201_B37_0.01551_0.372063818154555,670,877,581,797,396,744
EIF3B_crRNA1937:2389-2415_T15_0.9925_0.790614455955614,614,1053,173,264,80,101
EIF3B_crRNA1952:2404-2430_T6_0.9966_0.80121501343895,637,698,177,275,78,205
EIF3B_crRNA1954:2406-2432_T14_0.9929_0.791015847345193,420,573,45,53,36,26
EIF3B_crRNA1955:2407-2433_T10_0.9946_0.793609909413302,559,800,76,138,94,59
EIF3B_crRNA1956:2408-2434_T11_0.9941_0.793609909413302,455,485,39,49,5,24
FRMD4A_crRNA0494:615-641_T11_0.997_0.792865411297493,603,817,488,681,465,570
FRMD4A_crRNA0523:644-670_T18_0.9948_0.783106596168576,938,1041,667,854,480,680
FRMD4A_crRNA0641:786-812_T2_0.9994_0.812870642344116,607,738,362,519,245,415
FRMD4A_crRNA0651:796-822_T14_0.9962_0.790268596186152,702,818,600,713,453,722
FRMD4A_crRNA0832:977-1003_T16_0.9952_0.78461681897428,593,746,503,747,805,539
FRMD4A_crRNA0859:1004-1030_T7_0.9982_0.80121501343895,543,785,498,658,444,586
FRMD4A_crRNA0863:1008-1034_T1_0.9998_0.840190925209162,598,822,524,768,830,661
FRMD4A_crRNA1037:1182-1208_T20_0.9944_0.782996588625742,526,768,539,678,294,550
FRMD4A_crRNA1177:1322-1348_T9_0.9976_0.798973186346068,500,620,449,737,281,604
FRMD4A_crRNA1178:1323-1349_T4_0.999_0.809178062603857,700,964,562,943,424,838
FRMD4A_crRNA1179:1324-1350_T15_0.9956_0.788223528747896,576,1012,494,663,269,523
FRMD4A_crRNA1180:1325-1351_T8_0.998_0.799655994444826,607,898,529,687,618,624
FRMD4A_crRNA1188:1333-1359_T12_0.9968_0.792643626243458,729,1029,574,827,431,779
FRMD4A_crRNA1189:1334-1360_T19_0.9946_0.783068040054491,733,1237,642,1230,590,1196
FRMD4A_crRNA1190:1335-1361_T13_0.9966_0.792643626243458,844,979,637,1004,583,1022
FRMD4A_crRNA1240:1385-1411_B1_0_0.237840081670721,815,1063,717,1103,614,1363
FRMD4A_crRNA1241:1386-1412_B10_0.002186_0.303061167960188,923,1435,911,1111,720,1391
FRMD4A_crRNA1740:1933-1959_B25_0.005565_0.329127491387637,895,1211,690,1061,633,843
FRMD4A_crRNA1741:1934-1960_B58_0.01292_0.361295133191016,952,1286,822,1236,708,1181
FRMD4A_crRNA1744:1937-1963_B7_0.001193_0.290751307002019,561,970,602,970,536,1104
FRMD4A_crRNA1746:1939-1965_B28_0.006162_0.330628262261249,482,778,486,688,508,561
FRMD4A_crRNA1749:1942-1968_B43_0.00974_0.348958891620711,441,611,406,657,244,422
FRMD4A_crRNA1983:2176-2202_B34_0.007752_0.342519389682815,709,963,597,813,483,693
FRMD4A_crRNA2001:2194-2220_B52_0.01173_0.358656895989433,860,885,654,1106,389,697
FRMD4A_crRNA2141:2334-2360_B40_0.009143_0.344993410155889,987,1224,819,1191,530,871
FRMD4A_crRNA2143:2336-2362_B16_0.003379_0.312844659837479,736,912,509,835,320,952
FRMD4A_crRNA2146:2339-2365_B31_0.007156_0.339084417179638,708,948,669,985,580,860
FRMD4A_crRNA2154:2347-2373_B49_0.01093_0.355495553445948,958,1400,711,982,481,1377
FRMD4A_crRNA2155:2348-2374_B55_0.01232_0.359298670338903,956,1202,716,1079,425,823
FRMD4A_crRNA2174:2417-2443_B19_0.004373_0.320466154350552,744,1101,662,991,422,1492
FRMD4A_crRNA2349:2592-2618_T10_0.9972_0.797297931427993,920,1260,696,935,478,1303
FRMD4A_crRNA2479:2723-2749_T3_0.9992_0.809929911612327,590,1036,605,903,465,857
FRMD4A_crRNA2480:2724-2750_T6_0.9984_0.801293084621253,605,917,484,584,283,699
FRMD4A_crRNA2481:2725-2751_T5_0.9986_0.80251889139717,795,965,586,1033,812,695
FRMD4A_crRNA2496:2740-2766_B13_0.002783_0.311286580547276,762,1034,596,951,566,1409
FRMD4A_crRNA2498:2742-2768_B22_0.004969_0.324481456479054,874,1026,687,905,491,788
FRMD4A_crRNA2500:2744-2770_B37_0.008348_0.344375125243843,881,1126,696,994,689,854
FRMD4A_crRNA2504:2748-2774_B46_0.01034_0.354043249499703,538,654,458,494,379,698
FRMD4A_crRNA2515:2759-2785_B4_0.0005963_0.27538923997696,691,721,452,634,312,638
FRMD4A_crRNA2606:2850-2876_T17_0.995_0.783220545681969,744,1005,524,757,270,864
GALNT2_crRNA0272:346-372_B5_0.009923_0.375004598040193,653,989,594,688,727,924
GALNT2_crRNA0275:349-375_B15_0.01815_0.395977242603617,395,918,393,795,431,857
GALNT2_crRNA0276:350-376_B1_0.005671_0.354549765462013,282,595,282,493,230,518
GALNT2_crRNA0345:419-445_B37_0.03828_0.428950221721202,687,904,603,919,668,1119
GALNT2_crRNA0348:422-448_B27_0.02977_0.416870882008103,614,898,590,785,418,691
GALNT2_crRNA0353:427-453_B13_0.0173_0.386433600047644,409,715,357,629,268,499
GALNT2_crRNA0355:429-455_B35_0.03686_0.427827853426688,702,904,590,785,646,1189
GALNT2_crRNA0365:439-465_T11_0.9923_0.785683585658542,720,731,454,680,484,528
GALNT2_crRNA0366:440-466_T12_0.9921_0.785576379827044,977,1110,761,1132,615,1271
GALNT2_crRNA0367:441-467_T13_0.9918_0.785576379827044,812,1041,722,1004,928,629
GALNT2_crRNA0368:442-468_T15_0.9906_0.783784605651836,676,969,541,949,553,1223
GALNT2_crRNA0369:443-469_T9_0.9932_0.78661261856939,281,448,278,286,163,191
GALNT2_crRNA0442:516-542_B39_0.04168_0.433038681476256,727,1023,653,930,426,954
GALNT2_crRNA0444:518-544_B17_0.02155_0.399313824288878,861,1092,627,900,428,953
GALNT2_crRNA0445:519-545_B9_0.01191_0.379333291469291,825,1003,742,755,1511,524
GALNT2_crRNA0446:520-546_B23_0.02523_0.40845186818745,695,908,584,739,376,531
GALNT2_crRNA0524:598-624_T4_0.9966_0.792173141702487,368,483,245,341,226,352
GALNT2_crRNA0541:615-641_T18_0.9884_0.782266745359794,453,609,362,523,256,515
GALNT2_crRNA0542:616-642_T19_0.9855_0.779323238411978,444,494,444,452,272,774
GALNT2_crRNA0543:617-643_T1_0.9997_0.832851558782619,270,456,284,369,240,384
GALNT2_crRNA0587:661-687_T10_0.9929_0.786209984526711,675,946,569,842,679,1117
GALNT2_crRNA0654:752-778_T2_0.9991_0.809657391814449,774,927,610,781,715,772
GALNT2_crRNA0860:1057-1083_T8_0.9935_0.786899080862202,666,757,439,706,348,612
GALNT2_crRNA1001:1198-1224_B29_0.03147_0.419766259337938,555,825,504,843,375,1079
