Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
ARCN1_crRNA1187:1367-1393_T13_0.9948_0.781436050139464,569,698,389,479,329,560
ARCN1_crRNA1188:1368-1394_T3_0.9989_0.809949391143374,546,685,220,414,391,269
ARCN1_crRNA1224:1404-1430_T15_0.9934_0.77598697407146,635,756,417,733,325,569
ARCN1_crRNA1225:1405-1431_T16_0.993_0.77598697407146,541,659,507,609,379,547
ARCN1_crRNA1226:1406-1432_T17_0.9926_0.77598697407146,452,624,220,319,180,246
ARCN1_crRNA1228:1408-1434_T18_0.9923_0.77598697407146,406,559,169,254,97,143
ARCN1_crRNA1246:1449-1475_T5_0.9982_0.80276386964712,668,721,548,567,597,583
ARCN1_crRNA1247:1450-1476_T1_0.9996_0.835166442916975,698,939,477,839,375,601
ARCN1_crRNA1248:1451-1477_T2_0.9993_0.815559294630459,624,854,448,712,317,571
ARCN1_crRNA1249:1452-1478_T7_0.9974_0.792573361956399,668,760,502,678,288,679
BCL9L_crRNA1061:1407-1433_T8_0.9987_0.808241000889137,828,1139,705,862,392,686
BCL9L_crRNA1062:1408-1434_T9_0.9985_0.808241000889137,728,1164,692,954,635,787
BCL9L_crRNA1065:1411-1437_T14_0.9976_0.800516682163564,638,825,510,518,267,433
BCL9L_crRNA1108:1454-1480_T3_0.9993_0.809178062603857,656,701,560,648,513,500
BCL9L_crRNA1112:1458-1484_T17_0.9968_0.795780202384453,535,808,506,672,399,938
BCL9L_crRNA1114:1460-1486_T12_0.998_0.802879055125327,510,821,417,664,312,827
BCL9L_crRNA1250:1596-1622_B43_0.006342_0.324150354206364,688,961,745,989,605,787
BCL9L_crRNA1300:1687-1713_B31_0.004625_0.312815833212772,684,905,545,806,321,951
BCL9L_crRNA1303:1690-1716_B37_0.00555_0.320227639567058,518,729,392,692,272,547
BCL9L_crRNA1391:1778-1804_B40_0.005946_0.323467408589232,881,1227,662,1036,547,867
BCL9L_crRNA1415:1826-1852_B19_0.002775_0.30175372072805,795,921,493,838,366,536
BCL9L_crRNA1463:1897-1923_B22_0.003171_0.303712476857007,809,1306,705,1094,781,957
BCL9L_crRNA1466:1900-1926_B4_0.0003964_0.248727850621516,852,1322,794,1208,582,1112
BCL9L_crRNA1467:1901-1927_B7_0.0007928_0.263225552107978,686,1270,550,1022,552,1325
BCL9L_crRNA1470:1904-1930_B13_0.00185_0.283458151035019,852,1224,905,1196,944,999
BCL9L_crRNA1503:1983-2009_T10_0.9983_0.804838910583929,829,1081,632,706,470,674
BCL9L_crRNA1711:2329-2355_B1_0_0.223239262573309,738,975,644,1077,471,1333
BCL9L_crRNA1854:2525-2551_T4_0.9992_0.808521120658412,505,635,385,475,542,338
BCL9L_crRNA1856:2527-2553_T5_0.9991_0.808521120658412,601,664,512,607,330,399
BCL9L_crRNA1857:2528-2554_T6_0.9989_0.808521120658412,479,743,399,592,299,496
BCL9L_crRNA1858:2529-2555_T7_0.9988_0.808521120658412,386,638,365,675,374,524
BCL9L_crRNA1954:2670-2696_T15_0.9972_0.799030178862242,898,1154,630,951,507,1001
BCL9L_crRNA2104:2866-2892_T16_0.9971_0.797915517768022,896,1048,680,997,435,795
BCL9L_crRNA2204:3012-3038_T11_0.9982_0.803652929091272,766,887,496,792,393,972
BCL9L_crRNA2595:3426-3452_T1_0.9999_0.831437984536803,609,854,491,649,302,513
BCL9L_crRNA2612:3443-3469_T13_0.9979_0.801552150798103,1081,1474,798,1208,682,1174
BCL9L_crRNA2846:3723-3749_T18_0.9967_0.795631811657514,726,788,563,765,396,683
BCL9L_crRNA2847:3724-3750_T19_0.9966_0.795631811657514,599,720,459,693,309,651
BCL9L_crRNA2848:3725-3751_T20_0.9964_0.795631811657514,551,694,483,686,395,552
BCL9L_crRNA3207:4130-4156_B10_0.001321_0.276262596849759,621,1132,785,1049,655,1323
BCL9L_crRNA3225:4148-4174_B52_0.007796_0.329209723992942,717,1099,677,914,502,859
BCL9L_crRNA3432:4404-4430_B34_0.005021_0.315655215369773,577,738,495,623,630,552
BCL9L_crRNA3442:4414-4440_B55_0.008325_0.329701696571427,443,639,397,630,429,994
BCL9L_crRNA3443:4415-4441_B58_0.008853_0.331958074181257,500,832,447,641,367,445
BCL9L_crRNA3444:4416-4442_B46_0.006871_0.325210339828965,711,951,618,831,850,747
BCL9L_crRNA3445:4417-4443_B49_0.0074_0.326454700078909,469,710,461,683,429,1061
BCL9L_crRNA3600:4759-4785_B25_0.0037_0.308979411052966,544,930,621,843,465,780
