"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
335,98,368,235,354,-0.947
271,119,320,154,375,-0.77
97,236,176,240,125,-0.746
162,162,37,179,32,-0.89
17,61,1,8,69,-0.668
56,26,6,81,4,-2.804
4,1,8,17,5,-1.471
136,44,26,206,68,-2.159
64,4,12,21,12,-0.687
53,11,42,16,9,-0.626
34,31,15,61,31,-1.796
82,21,33,74,6,-0.249
44,5,4,37,1,-3.374
193,73,236,101,51,-0.506
314,322,94,303,16,-0.474
244,202,49,243,12,-0.745
279,218,78,283,33,-2.583
22,3,1,38,25,-1.035
196,180,27,242,35,-1.193
35,7,3,60,203,-1.605
219,210,62,215,46,-1.588
144,85,22,116,30,-2.447
225,101,10,198,1,-1.892
95,50,169,182,305,-0.846
288,245,36,272,27,-0.871
230,75,254,306,23,-2.514
79,17,157,65,3,-1.804
243,222,78,113,35,-1.704
317,416,92,321,62,0.072
197,100,9,522,37,-1.282
179,229,236,259,20,-0.721
351,319,371,300,180,-0.978
25,150,123,54,244,-0.568
10,12,111,44,217,-0.405
56,10,146,32,189,-1.339
423,405,450,476,17,-1.491
10,6,103,2,6,-2.185
635,510,5,585,2,-2.401
297,119,334,123,31,-0.823
342,127,374,389,30,-3.09
364,373,394,483,13,-2.063
1182,472,1205,929,82,-0.356
1966,1557,1967,1878,31,-1.637
2113,2113,2113,2040,12,-2.401
1978,1563,1979,1927,157,-2.926
1364,1248,70,606,29,-3.692
1871,1513,1873,1508,346,-0.737
212,8,285,301,1274,-1.336
974,241,1004,1040,490,-1.832
1,1,2,6,5,-2.194
180,149,96,185,12,-0.307
44,8,7,49,1,-0.644
17,69,1,7,2,-0.966
47,37,22,45,13,-0.796
122,52,11,83,11,-0.369
60,14,12,22,20,-0.806
57,6,5,65,3,-1.258
99,53,6,155,43,-1.143
170,62,31,77,21,-1.225
577,577,44,578,26,-1.249
50,20,7,109,64,-1.621
122,152,177,201,94,-1.589
403,373,419,342,4,-1.268
557,442,85,475,85,-2.983
477,382,478,458,73,-1.517
33,4,7,70,57,-0.861
219,88,257,147,23,-2.994
62,16,88,116,49,-1.003
434,524,65,503,52,-2.462
2,43,22,2,30,-1.374
22,8,26,173,2,-2.491
39,94,2,1,20,-2.918
23,2,1,156,4,-0.577
513,398,513,497,6,-0.095
7,14,5,2,41,-1.05
17,21,2,14,2,-0.449
125,26,2,1,6,-0.109
157,79,205,163,46,-2.653
113,60,23,94,27,-0.251
246,202,90,214,15,-0.825
131,144,12,176,26,-0.257
172,161,65,134,73,-1.144
162,156,93,199,41,-0.742
302,223,67,281,99,-0.729
4,1,1,1,1,-1.397
31,67,4,23,14,-1.713
62,42,6,37,17,-2.607
242,114,45,181,86,-2.086
415,345,116,361,45,-2.833
390,332,66,418,5,-2.431
442,363,452,430,75,-2.837
307,136,342,150,72,-0.512
193,116,250,52,8,-0.832
23,8,1,65,10,-2.179
299,148,52,356,13,-0.374
361,292,9,281,1,-1.28
342,10,4,136,8,-1.66
248,234,282,223,4,-2.389
383,302,80,353,202,-1.16
188,55,76,198,26,-0.248
348,356,364,400,15,-2.608
83,44,161,40,258,-0.694
46,5,43,194,351,-1.062
440,323,100,421,43,-0.758
118,39,3,46,14,-2.038
51,26,54,13,33,-2.334
69,105,72,156,17,-3.067
160,148,21,119,25,-1.501
207,216,35,240,36,-1.408
8,27,2,7,7,-1.276
26,62,12,11,168,-1.883
8,2,1,1,1,-0.774
7,8,19,15,8,-1.085
18,21,2,33,2,-0.903
70,42,12,9,13,-0.662
5,13,6,2,9,-1.332
51,15,18,66,18,-0.829
110,45,15,172,10,-1.13
2,41,8,168,152,0.354
109,34,28,85,14,-2.762
26,5,31,106,46,-1.295
24,6,2,20,126,-2.973
74,24,44,105,2,-0.526
205,177,27,166,6,-0.579
156,152,43,165,4,-1.142
145,142,52,22,118,-1.424
157,153,39,138,7,-1.727
150,130,40,160,4,-3.354
146,129,84,148,7,-2.296
99,102,14,179,35,-3.424
89,29,61,84,10,-1.567
19,59,15,47,117,-2.827
43,10,71,13,8,-3.227
181,181,181,174,161,-2.439
79,33,131,73,61,-0.822
292,222,90,282,3,-1.478
161,85,82,59,35,-0.274
61,10,37,29,2,-0.71
245,197,71,223,266,-2.563
73,17,5,47,7,-1.756
204,182,8,209,172,-1.72
252,201,75,261,27,-0.395
164,161,207,186,91,-0.081
21,9,13,10,3,-0.609
10,6,11,12,11,-0.551
13,5,34,19,45,0.222
41,37,15,23,12,-0.084
44,41,28,43,34,-0.049
23,45,8,20,4,-0.426
32,30,4,33,9,-2.548
113,29,5,97,3,-2.334
38,7,15,10,2,-1.366
54,68,25,77,22,-1.25
40,62,41,35,12,-1.974
10,11,10,53,5,-0.189
93,28,129,57,134,-0.161
27,24,3,60,23,-1.104
1,43,23,4,9,-0.34
42,8,6,146,14,-0.358
25,56,32,55,20,-0.518
14,1,1,96,3,-1.429
71,10,2,114,2,-1.214
317,251,53,317,68,-0.15
72,24,146,59,12,-0.824
319,252,55,209,56,-0.581
311,248,31,297,14,-0.714
95,148,33,100,55,-0.319
92,31,12,65,53,-1.429
39,12,71,72,78,-0.337
451,351,95,433,18,-0.541
246,244,28,180,31,-0.861
455,354,456,417,53,-0.096
439,345,91,386,6,-1.009
379,322,390,349,33,-0.18
46,16,72,83,61,-0.714
430,338,434,432,261,-0.778
256,251,14,206,97,-2.863
26,6,19,34,7,-0.376
7,2,79,7,82,-0.231
11,9,4,8,78,-0.374
10,1,2,2,3,-0.246
3,15,7,17,12,-0.026
16,7,8,20,4,0.048
173,143,31,166,2,-0.109
44,19,119,38,192,-0.12
186,154,3,182,10,-1.435
56,81,26,90,16,-2.133
172,142,17,158,185,-1.003
63,39,50,69,17,-0.492
110,107,16,110,1,-0.616
146,126,94,100,44,-0.31
91,36,58,40,12,-0.822
7,17,9,8,22,-1.221
69,9,23,342,6,-1.658
188,62,79,281,47,-0.653
170,293,63,148,71,-0.458
138,32,190,146,227,-0.763
132,172,185,73,102,0.212
31,72,74,34,13,-0.212
107,160,38,62,7,-1.246
128,38,56,33,48,-0.744
195,167,11,172,21,-0.445
170,151,31,160,1,-2.456
3,4,3,2,200,-0.467
39,26,8,39,156,0.042
27,8,4,12,157,-0.501
9,1,14,1,110,-0.222
106,49,70,147,6,-0.398
53,18,55,17,14,-0.515
128,100,203,108,63,-0.775
22,13,17,51,489,0.356
603,627,91,573,487,-0.479
