"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
9,16,10,45,30,-0.301
40,154,129,31,217,-1.447
41,155,130,51,238,0.066
47,160,41,456,136,-1.608
17,5,1,2,412,-2.058
21,6,65,10,66,-0.345
14,29,5,10,8,-0.128
12,4,9,5,5,0.31
26,6,19,34,7,-0.162
10,1,2,2,3,-1.119
26,6,22,84,6,-1.366
8,54,71,19,112,-0.654
18,10,89,9,30,-2.325
2,8,42,3,99,-1.354
38,105,1,10,45,-1.856
8,115,105,340,160,-0.719
71,15,45,20,68,-0.08
46,29,3,17,10,-1.475
5,2,19,1,107,-1.202
50,20,39,54,83,-0.345
14,28,105,32,95,-0.093
26,16,110,37,2,-1.225
38,78,2,38,19,-0.528
157,41,227,146,86,-1.325
41,194,132,61,323,0.001
186,84,251,109,167,-1.424
11,128,10,7,71,-1.742
10,183,106,120,139,-1.741
77,65,40,13,5,0.906
16,8,104,16,21,-0.065
7,29,7,4,4,-1.796
2,61,2,4,5,-2.201
139,127,76,128,38,-1.629
13,65,28,48,27,0.017
111,25,190,36,115,-0.276
163,87,232,115,177,-1.144
23,45,8,52,91,-0.067
120,164,198,106,170,-1.1
18,53,111,16,82,-0.326
71,22,136,43,149,-0.873
61,21,37,8,57,-0.34
2,104,92,9,121,-0.453
28,9,110,38,62,-0.626
8,24,95,10,113,-1.477
35,81,117,35,84,-1.054
1,68,11,4,68,-2.274
51,213,26,62,11,-1.287
24,229,111,17,79,-1.078
29,35,42,4,142,-2.669
59,16,3,64,20,-0.796
36,122,46,12,183,-0.592
127,45,52,95,59,-1.02
74,137,152,31,200,-0.958
30,93,17,87,48,-1.067
29,4,7,27,14,-1.594
35,34,123,15,331,-0.299
11,117,109,29,101,-1.636
27,123,119,4,166,-0.413
67,34,85,57,42,-1.127
106,96,26,139,45,-0.515
113,102,44,93,20,-0.981
1,13,1,3,3,-1.1
37,17,17,74,16,-1.113
3,35,35,3,42,0.122
59,57,29,15,23,-1.923
9,36,11,6,16,-1.908
43,23,5,33,5,-0.804
7,4,2,14,29,-0.831
28,11,86,12,7,-1.499
1,2,2,3,2,-0.258
8,7,17,5,15,-0.739
20,26,25,13,16,0.515
64,13,111,35,108,-2.96
74,73,40,88,40,-0.555
25,4,103,12,106,-1.459
4,3,2,9,3,-0.145
3,26,19,1,54,-1.384
105,83,15,98,35,-3.463
1,25,35,1,39,-0.433
3,28,31,40,21,0.024
5,8,51,10,26,-0.017
26,9,9,14,6,0.195
97,11,52,17,25,-0.396
379,115,459,109,558,-2.198
1692,1080,1693,896,560,-1.204
74,187,190,225,95,-0.307
37,317,159,94,368,-0.579
32,315,154,174,401,-0.156
84,54,53,212,120,-1.474
48,211,168,4,118,-0.164
8,2,9,62,6,-2.959
4,75,10,186,49,-0.746
61,97,71,40,66,0.06
33,86,84,12,60,-0.08
75,30,1,99,7,-1.755
48,27,42,56,24,0.486
17,24,85,43,92,-1.3
1,4,3,11,14,-0.842
2,8,1,6,7,-0.526
45,13,11,44,33,-1.122
11,16,20,9,3,-1.031
5,2,15,5,5,-1.627
25,17,42,92,15,-2.731
85,81,92,57,88,-1.153
74,71,18,79,3,-1.048
17,47,28,17,54,-1.022
9,23,11,25,20,-1.344
49,37,136,10,139,-2.061
17,2,113,53,313,-0.502
5,109,103,5,274,-0.641
3,12,15,4,18,-1.464
31,44,125,372,33,-1.173
17,3,114,53,57,-0.459
120,188,193,80,291,-0.389
212,116,261,100,188,-0.144
35,220,129,23,369,-0.355
80,242,165,140,333,-0.762
59,75,46,101,43,-0.301
7,3,15,9,135,-0.059
91,91,48,28,44,-0.091
30,61,63,22,76,-0.256
8,51,9,3,52,-0.206
31,12,34,72,28,-0.774
59,90,50,15,20,-0.717
42,154,4,5,64,-2.296
88,66,17,6,56,-2.75
45,156,128,32,200,-1.283
112,36,54,7,151,-1.437
131,108,210,39,145,-1.115
59,241,154,110,447,-0.037
68,16,161,722,571,-0.742
133,31,212,53,162,0.019
9,12,104,4,344,-0.361
58,19,7,88,14,-1.255
140,102,195,206,66,-1.416
7,66,4,1,15,-1.219
131,164,49,113,55,-0.375
65,147,7,36,12,0.425
17,70,13,15,29,-0.735
43,57,83,50,10,-0.858
54,15,58,36,2,-0.032
152,142,85,174,62,0.157
126,127,44,135,58,0.272
17,48,106,3,205,0.346
117,121,145,128,82,-1.064
33,8,12,24,14,-0.017
