"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
67,11,34,101,46,-3.454
60,12,134,22,196,0.05
239,293,261,251,130,-0.736
39,84,119,323,120,0.138
108,55,41,160,22,-0.713
8,38,83,16,9,-1.534
4,15,21,7,35,-1.115
3,11,24,2,36,0.713
44,2,22,18,13,-0.491
52,93,63,77,34,-3.119
193,193,233,120,138,0.076
46,45,132,374,162,0.396
37,40,11,8,21,-1.256
249,337,278,117,344,1.144
1,35,101,7,212,0.486
287,268,315,210,60,-1.654
193,106,82,194,59,-0.768
67,62,17,320,24,-1.705
333,295,10,312,19,-2.764
164,204,223,39,182,-1.955
14,29,5,10,8,-2.44
58,51,40,52,31,-0.988
173,143,31,166,2,-1.956
106,106,153,79,76,-0.26
2,8,42,3,99,-0.885
91,36,58,40,12,-2.27
15,15,38,5,96,-0.499
182,151,194,178,143,-0.209
108,161,169,43,168,-0.236
101,157,165,80,163,-0.83
215,110,58,286,70,0.104
61,141,141,128,83,-1.325
60,18,140,59,259,-2.077
112,163,172,114,247,-0.219
10,36,103,8,82,1.531
170,151,31,160,1,-3.297
49,10,26,204,31,-0.705
133,57,161,106,77,0.487
59,22,47,46,13,-1.356
5,2,20,36,9,-0.119
148,239,222,187,142,0.757
145,67,220,148,143,1.034
96,177,179,269,195,2.29
172,250,239,140,84,-1.659
3,179,23,25,111,-0.944
342,338,386,336,67,-3.028
5,1,99,3,6,0.4
5,31,4,3,11,-1.768
346,277,362,337,120,-0.859
23,45,8,52,91,-3.049
292,63,66,35,53,-2.336
18,53,111,16,82,0.121
342,276,44,234,29,-1.469
70,20,23,73,8,-0.816
59,73,56,2,135,-1.277
63,47,15,53,63,0.363
187,75,26,159,11,-1.336
71,22,136,43,149,0.332
72,34,32,105,4,-2.58
162,180,206,346,155,0.744
40,8,16,16,17,-2.996
7,73,45,1,77,-0.19
3,15,7,6,30,-4.089
132,165,81,121,41,-1.382
75,138,18,133,36,-0.815
272,314,83,218,72,-3.769
27,81,41,29,146,-1.595
89,18,51,23,107,-2.159
8,111,107,28,121,-0.147
10,63,108,2,77,-0.811
314,253,320,201,44,-0.803
286,241,300,229,61,-0.828
111,24,52,121,24,-4.006
29,4,7,27,14,-0.412
144,178,91,40,89,-3.878
67,34,85,57,42,-1.577
104,131,81,91,41,-2.72
87,86,39,87,7,-0.473
15,9,6,35,1,-2.386
154,155,5,147,14,-0.3
53,29,57,45,33,0.551
91,68,34,37,20,-0.582
13,7,19,19,14,-3.297
22,43,30,47,43,0.12
58,22,99,40,50,-3.112
15,21,15,18,60,1.247
10,1,7,2,45,-0.119
13,33,34,31,17,0.208
9,305,133,6,624,0.323
1150,1239,1183,837,240,-0.38
189,23,292,113,200,0.028
252,145,36,68,441,-0.143
269,121,42,194,250,-0.826
32,35,29,56,48,0.537
58,10,32,50,43,0.536
64,6,60,38,1,-4.004
103,34,23,90,20,0.939
127,126,27,74,12,-2.4
13,3,9,14,3,-2.971
21,9,34,20,29,-3.059
25,25,58,54,38,0.074
6,31,36,8,28,0.245
1,4,3,11,14,-0.846
43,49,72,59,56,-0.855
49,22,44,40,21,-2.419
30,24,64,28,12,-0.493
84,90,74,78,45,1.064
74,71,18,79,3,-3.969
12,12,30,5,47,0.098
6,42,20,1,49,0.295
318,343,327,325,98,0.493
75,140,31,140,10,-0.188
137,163,22,71,312,0.392
113,156,26,248,104,-1.678
166,87,69,143,63,-0.917
31,44,125,372,33,0.143
20,213,117,32,248,0.402
35,220,129,23,369,-0.231
2,2,34,26,52,-1.831
442,138,62,435,103,-3.675
53,46,3,1,34,-2.992
71,41,59,81,87,-0.886
55,73,78,14,41,-1.358
115,103,95,111,32,-1.296
85,13,152,379,151,-1.142
75,42,95,46,110,-0.444
100,16,29,92,93,-0.561
31,12,34,72,28,-1.113
108,63,91,155,88,-0.038
125,182,179,77,178,0.466
451,420,45,423,3,0.066
160,167,236,72,202,0.472
164,103,240,116,95,-1.912
450,419,487,358,468,-2.087
629,716,645,646,85,-0.238
190,305,261,222,245,-0.715
324,267,330,229,200,-0.135
89,46,55,148,23,-3.002
30,5,119,32,111,-1.411
170,67,43,89,56,-2.795
73,27,145,112,28,-2.32
46,80,6,2,4,-3.134
94,38,119,172,16,-2.349
2,62,53,13,49,0.069
14,3,26,15,20,-2.081
24,44,41,39,38,0.002
55,21,38,47,108,-0.223
1,1,1,1,4,-1.411
19,6,4,14,3,-3.144
30,36,25,23,18,0.897
10,2,10,4,34,-4.192
5,44,101,30,81,1.677
6,3,23,12,29,-1.3
113,39,41,107,63,-2.752
18,24,62,25,21,-3.546
16,10,15,1,24,-0.717
26,7,48,35,3,-0.223
122,127,53,114,16,0.897
17,52,47,14,103,0.297
75,29,99,36,48,1.058
21,28,1,29,48,0.263
25,5,6,11,59,-1.313
46,21,28,62,19,-3.66
14,32,8,1,27,-1.469
30,4,39,4,31,-1.99
16,43,46,22,36,-0.444
98,34,15,82,37,-0.01
20,2,7,27,102,1.062
179,66,20,135,2,-3.891
134,51,79,84,68,-0.723
61,73,114,84,104,-0.723
26,40,59,29,70,-1.042
49,14,7,140,5,0.306
51,20,23,32,16,-1.993
101,92,127,56,50,0.78
2,21,8,17,23,-0.849
17,4,8,22,11,-0.912
45,35,49,25,32,1.139
36,14,18,32,18,-2.004
56,21,36,39,31,0.452
34,52,81,11,51,-0.349
21,12,16,8,13,-0.993
64,9,38,26,1,-2.484
60,92,98,66,39,-2.39
78,73,148,39,64,-1.695
139,166,69,85,90,-2.186
39,43,43,10,68,-1.237
59,3,141,8,164,-1.23
82,107,156,49,128,-1.517
34,32,11,18,26,-1.101
249,226,62,225,78,1.084
18,1,11,3,55,-3.133
63,12,15,25,21,-4.538
301,252,39,297,13,-3.254
14,65,98,51,112,0.623
2,35,19,140,39,1.794
1,13,24,3,26,-1.312
875,1076,884,698,267,-1.349
422,556,454,513,673,-0.549
398,133,49,191,82,-2.342
439,180,20,420,20,-1.939
272,478,322,340,416,1.258
1,1,101,4,356,-1.386
53,53,23,21,8,-1.891
19,17,39,3,12,-2.334
47,5,7,33,7,-2.787
4,1,64,1,54,-3.727
55,52,24,36,3,-3.051
57,54,13,59,27,0.849
1,6,2,2,10,-1.025
1,19,1,1,9,-2.83
17,48,35,3,35,-0.385
45,10,28,27,22,-0.247
1,37,34,2,46,-0.551
96,29,43,82,20,-0.862
44,58,55,22,15,0.053
12,60,47,137,40,0.235
104,97,25,81,10,-2.662
17,1,26,17,8,-2.972
13,56,11,29,21,-2.663
48,15,46,63,109,-0.671
37,10,68,61,30,-1.392
58,111,19,23,54,-3.938
218,229,230,197,141,0.545
89,41,84,79,74,0.403
31,9,112,14,128,1.473
95,35,159,219,90,-0.144
230,203,244,108,85,-1.203
211,275,232,221,107,1.178
134,153,96,194,53,-1.428
104,24,49,73,15,-0.112
27,10,59,18,18,0.949
76,23,26,43,41,-0.152
31,18,4,80,16,-3.459
94,106,130,122,106,0.324
25,76,32,12,6,-3.249
23,4,14,11,26,-0.772
9,16,35,7,29,0.767
6,15,3,19,6,-0.599
3,3,1,3,3,-2.026
11,32,37,9,25,-1.113
8,2,3,23,8,-2.787
36,52,24,44,36,-0.576
52,60,14,56,2,-0.821
15,7,5,24,10,0.579
7,18,34,124,68,0.336
66,4,58,55,31,0.269
160,238,189,149,171,-4.532
198,235,214,183,223,0.499
1,3,3,12,24,-3.704
150,78,54,107,21,-3.585
51,112,121,7,98,-2.059
37,7,5,28,3,-3.699
20,6,102,10,71,-1.326
6,50,7,34,27,-1.268
50,23,112,6,120,0.039
5,4,95,4,106,-0.247
143,148,159,61,110,-1.187
26,6,110,12,20,-2.56
21,28,56,8,18,0.795
5,30,63,1,19,-0.203
43,19,98,13,2,-3.259
2,3,15,1,11,0.294
89,23,6,31,8,-1.64
8,3,2,4,3,-2.642
12,6,3,1,4,-2.451
20,3,102,21,4,-2.959
5,29,13,4,10,-2.923
75,5,37,23,13,-0.914
42,55,42,22,40,0.139
16,2,45,8,8,-3.172
19,50,18,1,32,-4.099
44,38,19,29,39,0.212
10,14,1,15,17,-1.249
16,1,14,15,6,-2.949
30,7,81,27,35,-1.214
43,26,85,5,26,-0.183
12,11,68,19,45,-0.372
11,5,67,109,43,-0.225
8,5,2,2,4,-3.989
17,3,4,8,1,-2.629
46,13,66,10,29,-0.353
18,1,35,7,10,1.162
6,8,11,10,10,-1.292
1,11,37,1,25,-2.865
83,58,9,25,1,-1.891
18,2,77,26,25,0.545
44,52,110,16,43,-0.779
6,18,11,2,15,-1.946
28,5,114,58,154,0.04
42,22,120,18,14,0.303
44,11,20,143,3,-0.772
6,4,7,120,35,-0.657
84,6,3,17,10,-1.504
241,59,48,109,80,0.179
33,7,11,3,4,-3.362
8,12,52,1,19,-1.952
1,4,3,1,2,-0.08
24,14,1,3,1,-2.04
81,78,88,25,48,0.5
9,25,43,5,45,0.989
5,1,40,7,39,-0.243
28,7,59,17,18,0.295
1,1,101,1,24,-3.432
31,2,5,26,3,-1.312
40,3,97,28,32,0.241
44,47,15,14,17,-3.209
33,39,6,15,5,-3.654
2,25,13,1,10,-3.009
3,20,31,5,21,-3.384
6,40,17,3,21,-4.202
14,5,49,7,8,0.218
93,28,129,75,52,-0.769
73,19,124,49,57,-1.523
60,17,123,93,42,-1.309
8,2,4,1,13,-1.867
