"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
193,193,233,120,138,-0.015
46,45,132,374,162,-1.321
37,40,11,8,21,-1.491
249,337,278,117,344,-0.473
1,35,101,7,212,-0.314
287,268,315,210,60,-1.547
193,106,82,194,59,-1.936
67,62,17,320,24,-2.607
333,295,10,312,19,-2.774
164,204,223,39,182,-1.897
14,29,5,10,8,-1.112
58,51,40,52,31,-0.189
173,143,31,166,2,-1.046
106,106,153,79,76,0.106
2,8,42,3,99,-1.324
91,36,58,40,12,-2.68
15,15,38,5,96,-2.001
182,151,194,178,143,0.775
108,161,169,43,168,-0.281
101,157,165,80,163,-0.477
215,110,58,286,70,-0.759
61,141,141,128,83,-1.361
60,18,140,59,259,-1.526
112,163,172,114,247,-1.553
10,36,103,8,82,0.307
170,151,31,160,1,-2.698
49,10,26,204,31,0.064
133,57,161,106,77,0.016
59,22,47,46,13,-0.343
5,2,20,36,9,-0.077
148,239,222,187,142,-1.085
145,67,220,148,143,-0.589
96,177,179,269,195,-0.825
172,250,239,140,84,-1.652
3,179,23,25,111,-0.474
342,338,386,336,67,-0.909
5,1,99,3,6,-0.339
5,31,4,3,11,-2.175
23,45,8,52,91,-1.359
292,63,66,35,53,-0.389
18,53,111,16,82,0.051
342,276,44,234,29,-0.147
70,20,23,73,8,-1.252
59,73,56,2,135,-1.253
63,47,15,53,63,-0.917
187,75,26,159,11,-2.254
71,22,136,43,149,-0.399
72,34,32,105,4,-2.354
162,180,206,346,155,-0.613
40,8,16,16,17,-2.77
7,73,45,1,77,-0.81
3,15,7,6,30,-2.664
132,165,81,121,41,-2.982
75,138,18,133,36,-1.296
272,314,83,218,72,-1.42
27,81,41,29,146,-3.072
89,18,51,23,107,-2.206
8,111,107,28,121,-2.268
10,63,108,2,77,-1.326
314,253,320,201,44,-1.337
286,241,300,229,61,-0.979
111,24,52,121,24,-1.905
29,4,7,27,14,-1.818
144,178,91,40,89,-1.334
67,34,85,57,42,-0.548
104,131,81,91,41,-1.537
15,9,6,35,1,-0.663
154,155,5,147,14,-0.784
53,29,57,45,33,0.278
91,68,34,37,20,0.16
22,43,30,47,43,-1.865
58,22,99,40,50,-2.795
15,21,15,18,60,-1.134
10,1,7,2,45,-0.755
13,33,34,31,17,-0.313
9,305,133,6,624,-0.038
1150,1239,1183,837,240,-0.196
189,23,292,113,200,0.151
252,145,36,68,441,-0.061
269,121,42,194,250,-1.404
32,35,29,56,48,-0.357
58,10,32,50,43,-2.541
64,6,60,38,1,-3.125
103,34,23,90,20,-0.56
127,126,27,74,12,-1.89
13,3,9,14,3,-0.646
21,9,34,20,29,-0.588
25,25,58,54,38,-0.198
6,31,36,8,28,-1.131
1,4,3,11,14,-0.702
43,49,72,59,56,-0.082
49,22,44,40,21,-1.837
30,24,64,28,12,-1.76
84,90,74,78,45,-0.196
74,71,18,79,3,-1.733
12,12,30,5,47,0.38
6,42,20,1,49,-0.049
318,343,327,325,98,-1.052
75,140,31,140,10,-0.661
137,163,22,71,312,0.126
113,156,26,248,104,-1.279
166,87,69,143,63,-0.761
31,44,125,372,33,-0.855
20,213,117,32,248,-0.455
35,220,129,23,369,-0.063
2,2,34,26,52,-0.683
442,138,62,435,103,-1.85
53,46,3,1,34,-1.339
71,41,59,81,87,0.403
55,73,78,14,41,-0.252
115,103,95,111,32,-1.259
85,13,152,379,151,-2.381
75,42,95,46,110,-1.646
100,16,29,92,93,-0.948
31,12,34,72,28,-0.775
108,63,91,155,88,0.116
125,182,179,77,178,-0.974
451,420,45,423,3,-0.453
160,167,236,72,202,-0.265
164,103,240,116,95,0.444
450,419,487,358,468,-2.559
629,716,645,646,85,-0.998
190,305,261,222,245,-1.715
324,267,330,229,200,-0.377
89,46,55,148,23,-0.509
30,5,119,32,111,-0.163
170,67,43,89,56,-0.99
73,27,145,112,28,-1.011
46,80,6,2,4,-1.095
94,38,119,172,16,-1.566
2,62,53,13,49,-1.274
14,3,26,15,20,-0.097
24,44,41,39,38,0.324
55,21,38,47,108,0.279
1,1,1,1,4,-2.781
19,6,4,14,3,-1.815
10,2,10,4,34,-2.059
5,44,101,30,81,-0.888
113,39,41,107,63,-2.236
18,24,62,25,21,-2.543
16,10,15,1,24,-0.576
26,7,48,35,3,-1.007
17,52,47,14,103,-0.234
75,29,99,36,48,-0.163
21,28,1,29,48,-0.639
25,5,6,11,59,-2.155
46,21,28,62,19,-0.705
14,32,8,1,27,-1.723
30,4,39,4,31,-0.328
16,43,46,22,36,-1.865
98,34,15,82,37,-1.296
20,2,7,27,102,-1.362
179,66,20,135,2,-1.796
61,73,114,84,104,-0.166
26,40,59,29,70,-0.057
49,14,7,140,5,-0.035
51,20,23,32,16,-0.53
101,92,127,56,50,0.19
2,21,8,17,23,0.578
17,4,8,22,11,-0.293
36,14,18,32,18,-0.546
56,21,36,39,31,-0.106
34,52,81,11,51,-0.105
21,12,16,8,13,-2.195
64,9,38,26,1,-2.513
60,92,98,66,39,-2.4
78,73,148,39,64,-2.001
139,166,69,85,90,-1.712
39,43,43,10,68,-0.057
59,3,141,8,164,-1.967
82,107,156,49,128,-1.51
34,32,11,18,26,-1.251
249,226,62,225,78,-0.206
18,1,11,3,55,-1.607
63,12,15,25,21,-3.554
301,252,39,297,13,-2.77
14,65,98,51,112,-0.881
2,35,19,140,39,-0.408
1,13,24,3,26,-0.427
875,1076,884,698,267,-1.723
422,556,454,513,673,0.443
398,133,49,191,82,-0.716
439,180,20,420,20,-2.294
272,478,322,340,416,-0.257
1,1,101,4,356,-0.238
53,53,23,21,8,-2.45
19,17,39,3,12,-2.181
47,5,7,33,7,-2.071
4,1,64,1,54,-2.361
55,52,24,36,3,-3.396
57,54,13,59,27,-2.092
1,6,2,2,10,-1.305
1,19,1,1,9,-1.265
17,48,35,3,35,-1.778
45,10,28,27,22,-0.691
1,37,34,2,46,-1.222
96,29,43,82,20,-1.294
44,58,55,22,15,-1.71
12,60,47,137,40,-0.103
104,97,25,81,10,-1.144
17,1,26,17,8,-0.577
13,56,11,29,21,-1.968
37,10,68,61,30,-1.131
58,111,19,23,54,-0.628
218,229,230,197,141,0.077
89,41,84,79,74,-0.461
95,35,159,219,90,-0.112
230,203,244,108,85,-0.788
211,275,232,221,107,0.657
134,153,96,194,53,-1.555
104,24,49,73,15,-1.223
27,10,59,18,18,-2.267
76,23,26,43,41,0.163
31,18,4,80,16,-0.329
94,106,130,122,106,0.098
25,76,32,12,6,-0.991
23,4,14,11,26,-1.181
9,16,35,7,29,-0.153
6,15,3,19,6,-0.637
3,3,1,3,3,-1.487
11,32,37,9,25,-0.292
8,2,3,23,8,-0.794
36,52,24,44,36,0.005
52,60,14,56,2,0.228
15,7,5,24,10,-0.205
7,18,34,124,68,1.253
66,4,58,55,31,0.127
160,238,189,149,171,-1.744
198,235,214,183,223,-1.168
1,3,3,12,24,-1.623
150,78,54,107,21,-3.024
51,112,121,7,98,-1.041
37,7,5,28,3,-1.322
20,6,102,10,71,-1.981
6,50,7,34,27,-1.784
50,23,112,6,120,0.024
5,4,95,4,106,-0.533
143,148,159,61,110,-0.44
26,6,110,12,20,-2.713
21,28,56,8,18,-0.099
5,30,63,1,19,0.039
43,19,98,13,2,-2.471
2,3,15,1,11,-2.774
89,23,6,31,8,-2.169
8,3,2,4,3,-2.506
12,6,3,1,4,-1.817
20,3,102,21,4,-1.427
5,29,13,4,10,-0.79
75,5,37,23,13,-1.073
42,55,42,22,40,0.191
16,2,45,8,8,-2.671
19,50,18,1,32,-3.102
44,38,19,29,39,-2.898
10,14,1,15,17,-1.219
16,1,14,15,6,-2.776
30,7,81,27,35,-0.243
43,26,85,5,26,-0.719
12,11,68,19,45,-0.639
11,5,67,109,43,-0.292
8,5,2,2,4,-2.154
17,3,4,8,1,-2.032
46,13,66,10,29,-0.275
18,1,35,7,10,0.139
6,8,11,10,10,-1.211
1,11,37,1,25,-2.722
83,58,9,25,1,-2.076
18,2,77,26,25,0.096
