"","rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse"
"achilles",0.0562743153744411,0.0575499390915424,5.72989160096458e-11,0.62669000895409,1.20981407587551e-17
"sabatini",0.978229968508613,0.435209286036822,8.9685927926192e-07,0.779436726977556,5.96866184709931e-15
"toronto",0.305794406735885,0.0106779682411555,4.5162139882553e-11,0.157589082263938,2.95887341120417e-21
"toronto3",0.944938557649731,0.0868270985695187,1.11922737447538e-05,0.219274917343681,1.15018667737471e-08
"yusa",0.727682011171275,0.0186472080936834,7.5504535233826e-08,0.00532548230419396,1.8114574979786e-07
